Claim_ID,Current_Section,Exact_Claim,Relevant_Dates,People_and_Entities,Source_Tier,Evidence_Status,Confidence_0_to_100,Supporting_Evidence,Counterevidence_or_Limit,Recommended_Wording,Open_Question,Additional_Record_Needed
"CH3-1996-STOCK-DECLINE-011","Public recapitalization","THCR stock fell from a 1996 high above $35 to below $9 by March 1997.","1996-1997","THCR public shareholders","A","Established by SEC market-price table",99,"SEC 10-K quarterly high/low table.","Market price alone does not prove wrongdoing.","Public shareholders experienced a rapid loss of market value after the expansion transactions.","What disclosures or events drove the decline?","Contemporaneous analyst reports; earnings calls; press releases; trading-event study."
"CH3-1996-MOSCOW-012","Russian business access","Trump’s 1996 Moscow trip was facilitated by a U.S. business network with existing Russian access.","1996","Donald Trump; Howard Lorber; Bennett LeBow; David Geovanis; Liggett-Ducat/Vector","A/B","Established trip and network; full project records missing",93,"Contemporaneous and Senate-linked reporting identifies participants and Ducat project access.","No completed Trump project or financing identified.","The 1996 trip joined Trump’s recovering brand to American intermediaries already embedded in Russian commerce.","What terms, financing, sites, and Russian sponsors were discussed?","Travel records; project proposals; letters; visa sponsor; meeting notes; financing term sheets."
"CH3-1996-GEOVANIS-013","Russian business access","The Senate investigated allegations that Geovanis knew of possible compromising material.","1996; 2018-2020 investigation","David Geovanis; SSCI; Donald Trump","A","Officially investigated allegation; unproven",70,"Senate Volume 5 preserves the investigative issue.","Public evidence does not establish existence or possession of kompromat; reliability concerns exist.","Geovanis was a relevant access intermediary and the subject of an unproven Senate-investigated kompromat lead.","What testimony and exhibits remain redacted?","SSCI interview transcript; exhibits; FBI referrals; travel and event records."
"CH3-1995-40WALL-014","Institutional finance","ULLICO financed 40 Wall Street with a union-labor contractor condition.","1996-1998","ULLICO; Trump entities; Deutsche Bank affiliate; contractors","A/B","Recorded-document reporting plus ULLICO program description",90,"Mortgage-record reporting identifies $10m and $8m loans, union rider, assignment and additional Deutsche financing.","Original loan instruments should be retrieved; condition itself is lawful.","Institutional financing could require use of a defined labor-contractor network.","Did contractors overlap with Chapter 2 cartel-linked suppliers or connected investors?","ACRIS mortgages and riders; contractor list; procurement files; mechanics liens."
"CH3-1998-GM-015","Institutional partnership","Trump contributed only a small portion of equity in the GM Building acquisition.","1998","Donald Trump; Conseco; Lehman Brothers","A/B","Well-supported transaction reporting",95,"Conseco reportedly supplied $211m, Trump $11m, with roughly $700m mortgage.","Exact original closing statement not in repository.","The GM Building exemplified a brand-and-management model funded mostly by a partner and leverage.","Were there side guarantees or contingent profit rights?","Purchase agreement; partnership agreement; mortgage; arbitration record."
"CH3-1998-TWT-LOAN-016","Trump World Tower","Trump World Tower received approximately $295m in institutional construction financing.","1998 onward","845 UN LP; ULLICO; HypoVereinsbank; Deutsche Bank","A/B","Recorded-mortgage reporting; primary instruments needed",93,"Mortgage reporting identifies lenders, amount, labor rider, later assignment.","Complete capital stack and tranche amounts not yet reconstructed.","Trump World Tower relied on large institutional construction loans and later loan assignments.","How much sponsor equity and presale value was required?","ACRIS mortgage package; building loan agreement; draw schedules; guarantees; assignments."
"CH3-1998-TWT-PRESALE-017","Trump World Tower","Trump World Tower began presales before construction.","October 1998 onward","845 UN LP; Donald Trump; purchasers","A","Established by New York appellate decision",99,"Uzan decision states sales began October 1998 and building was unconstructed in April 1999.","Does not identify all purchasers or lender requirements.","The project used binding preconstruction sales as part of its development model.","What percentage of units/value was presold before each construction draw?","Offering plan; contract ledger; lender certifications; sales reports."
"CH3-1999-UZAN-BULK-018","Trump World Tower","Uzan-related buyers signed seven purchase agreements before construction.","1999","Cem Uzan; Hakan Uzan; Antonio Betancourt; 845 UN LP","A","Established by court decision",99,"Court details seven agreements, four penthouses, three later closings.","No evidence Trump knew of later Motorola fraud at contract date.","A wealthy foreign group committed to multiple units before construction and received negotiated bulk terms.","Who introduced the buyers and conducted due diligence?","Purchaser files; broker records; KYC/source-of-funds; correspondence."
"CH3-1999-UZAN-DISCOUNT-019","Trump World Tower","Four Uzan penthouses received a discount exceeding $7m to about $32m total.","1999","Uzan buyers; 845 UN LP","A","Established by court decision",99,"Court records negotiated price and discount.","A negotiated discount is not inherently improper.","The sponsor granted a major bulk-purchase discount to sophisticated foreign buyers.","Were similar terms offered to other bulk or connected buyers?","Offering-plan price schedule; concession ledger; all amended contracts."
"CH3-1999-UZAN-ASSIGN-020","Trump World Tower","Uzan buyers obtained unusual assignment and resale rights.","1999","Uzan buyers; 845 UN LP","A","Established by court decision",99,"Court says assignment right was not granted to any other purchaser according to sponsor counsel.","May reflect bargaining power rather than reciprocity.","The bulk purchasers received nonstandard pre-closing transfer rights.","Did those rights help market or finance the project?","Contract drafts; sponsor counsel files; lender review; resale efforts."
"CH3-1999-UZAN-ESCROW-021","Trump World Tower","Approximately $8m in disputed penthouse deposits was held in escrow.","1999-2001","Uzan buyers; escrow agent; 845 UN LP","A","Established by court decision",99,"Court specifies staged 25% down payments and escrow.","Escrow limits direct-use claim; release terms not known.","Large presale deposits existed, but direct construction use is not established.","Were deposits released or counted toward lender thresholds?","Escrow agreement; bank statements; offering amendments; lender covenants; architect certifications."
"CH3-PRESALE-FINANCE-022","Trump World Tower","Bulk presales may have helped unlock construction finance.","1998-2001","845 UN LP; lenders; bulk buyers","A/D","Analytical hypothesis",65,"Presales existed before completion; construction lending was substantial; such tests are common.","No located covenant yet ties Uzan contracts to advances; funds were escrowed.","Presales could have reduced lender risk or satisfied sales tests, but the link must be documented.","What exact presale threshold did lenders require?","Building loan agreement; borrowing-base tests; draw certificates; presale schedules."
"CH3-ULLICO-CONTRACTOR-023","Reciprocal networks","Capital provider required union contractors at Trump projects.","1996-1998","ULLICO; contractors; Trump entities","A/B","Contract mechanism strongly supported",90,"Recorded-document reporting and ULLICO program require union construction.","Lawful labor requirement is not a mob or kickback finding.","The financing documents demonstrate that capital could be conditioned on a specific contractor class.","Which firms received work, and did they overlap with connected buyers or older cartel networks?","Original rider; contractor/subcontractor list; union signatory records; payment applications."
"CH3-KISLIN-JOYLUD-024","Intermediary continuity","Kislin and Sapir’s Joy-Lud supplied televisions to an early Trump hotel.","Late 1970s-1980","Sam Kislin; Tamir Sapir; Joy-Lud; Trump hotel entities","B/C","Well-supported historical reporting",90,"Repeated documentary accounts; continuity with later roles.","Underlying invoice and credit agreement not yet obtained.","An early supplier relationship linked Trump to businessmen serving Soviet diplomatic customers.","Was credit extended, and who negotiated the order?","Invoices; purchase orders; credit terms; hotel procurement records."
"CH3-KISLIN-FBI-025","Intermediary continuity","A 1994 FBI report allegedly listed Kislin as an Ivankov member/associate.","1994; reported 1999","Sam Kislin; FBI; Ivankov","B","Law-enforcement intelligence allegation, not charge",80,"Center for Public Integrity reports confidential FBI document.","Kislin denied knowing Ivankov and was not charged.","An FBI intelligence report reportedly associated Kislin with Ivankov; the allegation remains unadjudicated.","Can the underlying report be obtained or authenticated?","FBI FOIA; Ivankov file; source reliability; declassification request."
"CH3-KISLIN-INTERPOL-026","Intermediary continuity","Interpol alleged Trans Commodities was used in fraud and laundering involving Chernoy interests.","Early-mid 1990s; reported 1999","Trans Commodities; Sam Kislin; Mikhail and Lev Chernoy; Interpol","B","International law-enforcement allegation; no conviction",80,"CPI quotes 1996 Interpol report and Kislin admission that Mikhail worked for him.","Kislin denied laundering; USAO declined civil action.","Interpol and FBI allegations placed Kislin’s firm inside a suspect post-Soviet commodities network, but no criminal case was brought against him.","What transactions and accounts were examined?","Interpol report; Russian MLAT request; bank records; USAO declination letter."
"CH3-KISLIN-MORTGAGE-027","Intermediary continuity","Kislin later issued private mortgages to Trump World Tower purchasers.","2001 onward, rooted in 1990s sales model","Sam Kislin; Trans Commodities; Vasily Salygin; TWT buyers","A/B","Recorded-property reporting; deed-level verification needed",85,"Bloomberg-derived reporting identifies specific mortgage relationship.","Most closings postdate Chapter 3 and full mortgage series not yet compiled.","The early Trump supplier later became a private-credit intermediary for post-Soviet Trump-property buyers.","How many loans, to whom, and from what source of funds?","ACRIS mortgage/deed/assignment/satisfaction ledger; lender bank records."
"CH3-SAPIR-SOVIET-028","Intermediary continuity","Sapir used Soviet diplomatic customers and commodity trades to build real-estate capital.","1980s-1990s","Tamir Sapir; Joy-Lud; Soviet officials; Russian oil entities","B","Well-supported reporting",95,"Forbes describes Soviet diplomatic customer base and exchange of electronics for fertilizer/oil rights.","Not proof of intelligence role or illegal trade.","Sapir converted Soviet commercial access into commodity wealth and then Manhattan real estate.","Which Soviet entities and officials were counterparties?","Joy-Lud contracts; export licenses; Russian arbitration/court records; bank transfers."
"CH3-SAPIR-TRUMP-BRIDGE-029","Intermediary continuity","Sapir’s early supplier relationship later developed into Trump development partnership.","1980-2000s","Tamir Sapir; Donald Trump; Sapir Organization","B","Network continuity established; later transaction belongs Chapter 4",92,"Early hotel supply and later Trump SoHo partnership are documented.","No evidence early transaction was arranged to create later influence.","Sapir is a long-duration bridge from Soviet-facing commerce into later Trump development capital.","What interactions occurred between the early order and Trump SoHo?","Correspondence; tenancy; deals; social events; financing proposals."
"CH3-IVANKOV-030","Criminal property use","Ivankov was a powerful Russian crime figure prosecuted in 1995.","1995-1997","Vyacheslav Ivankov; DOJ; FBI","A","Official prosecution fact",99,"DOJ annual report describes indictment and reputed status.","Official source does not itself prove Trump-property residence.","Ivankov’s prosecution is established; reported use of Trump properties requires underlying exhibits.","Which Trump units, hotel rooms, or contact numbers appear in FBI/court records?","Indictment; trial exhibits; search inventories; surveillance reports; property records."
"CH3-IVANKOV-TRUMP-031","Criminal property use","Ivankov reportedly lived or operated in Trump-associated properties.","1994-1995","Ivankov; Trump Tower; Taj Mahal; Trump Organization","B","Strong investigative reporting; primary corroboration incomplete",82,"Multiple investigative accounts cite FBI investigators and phonebook evidence.","Presence does not prove Trump knowledge; underlying records not yet obtained.","Investigative reporting places Ivankov inside the Trump property network, subject to primary-record confirmation.","What ownership, guest, surveillance, and telephone records exist?","FBI FOIA; court exhibits; condominium deeds; casino hotel logs."
"CH3-RUSSIAN-65-032","Russian buyer demand","Approximately 65 Trump World Tower units were sold to Russian buyers.","1998-early 2000s","Dolly Lenz; Russian buyers; TWT","B","Broker statement; transaction ledger not completed",78,"Lenz’s statement repeatedly reported.","Chronology likely spans early 2000s; not 65 completed late-1990s closings.","A substantial Russian buyer constituency developed from the presale period into the early 2000s.","Which 65 units and beneficial owners?","Sponsor closing ledger; deeds; passports/addresses; broker commission files."
"CH3-RUSSIAN-RESCUE-033","Overall conclusion","Russian money was not the principal immediate bailout but became important to the rebuilding model.","1990-2000","Trump entities; creditors; foreign investors; post-Soviet buyers","A/B/D","Analytical synthesis",94,"Bank rescue and non-Russian foreign deals precede Russian condo expansion; later demand and private credit documented.","Unrecorded Russian capital could exist; precise totals unavailable.","Domestic creditors and non-Russian foreign investors prevented collapse; post-Soviet capital increasingly supplied demand, credit, and access during rebuilding.","What is the annual dollar amount of verified post-Soviet inflows?","Transaction-by-transaction cash-flow ledger; beneficial ownership; bank records."
"CH3-CASINO-CREDIT-034","Casino networks","THCR used international hosts, comps, player tracking, and significant casino credit.","1990s","THCR casinos; international representatives; high-end patrons","A","Established by SEC filing",99,"SEC describes comps, player cards, international reps, credit percentages.","These are standard casino practices and not inherently improper.","The casino system created a documented interface for high-value relationships and requires patron-level testing.","Were exceptions made for connected or law-enforcement-linked patrons?","Credit files; comp logs; travel records; CTR/SAR data; host correspondence."
"CH3-CASINO-RECIPROCITY-035","Casino networks","Casino benefits may have been exchanged for property, financing, or introductions.","1990s","Trump entities; high-end patrons; brokers; lenders","D","Hypothesis lead",50,"Multiple benefit mechanisms existed and could be cross-matched.","No specific quid pro quo yet documented.","Cross-transaction reciprocity is a records question, not a current finding.","Do the same names appear in patron, property, mortgage, political, and contractor records?","Unified entity-resolution database; patron records; deeds; mortgages; vendor ledgers."
"CH3-FOREIGN-PARTNER-INFLUENCE-036","Overall conclusion","Foreign rescue transactions could create future influence or access.","1994-2000","Asian, Saudi, Singaporean, Russian and other investors","D","Analytical inference",65,"Investors preserved assets and Trump roles; continued relationships possible.","Most transactions have conventional profit motives; no policy quid pro quo during period.","Foreign dependence created potential leverage but must be tied to later requests or benefits.","Did investors later seek political, regulatory, or business favors?","Communications; later deals; lobbying; governmental contacts; political donations."
"CH3-UNIFIED-CONSPIRACY-037","Overall conclusion","The decade’s networks were centrally coordinated.","1990-2000","Banks; mob figures; Russian buyers; investors; Trump entities","D","Unverified hypothesis",20,"Recurring nodes and compatible mechanisms exist.","Different actors, motives, jurisdictions and dates; no command structure documented.","The evidence supports converging networks, not one proven centrally directed conspiracy.","Is there a common intermediary, account, agreement, or communications hub?","Phone/email records; bank flows; corporate ownership; law-enforcement intelligence."
"CH3-CONTINUITY-CH4-038","Cross-chapter","Chapter 4’s Bayrock/licensing model grew from 1990s structures.","1995-2005","Trump; Sapir; post-Soviet buyers; outside developers","A/B/D","Strong analytical continuity",93,"1990s show outside capital, brand contribution, presales, private credit and post-Soviet demand.","Bayrock introduced distinct actors and alleged conduct.","Bayrock expanded—not invented—the outside-capital and post-Soviet-intermediary model.","Which 1990s relationships directly introduced Chapter 4 partners?","Contact calendars; tenancy; emails; broker and attorney files; deal proposals."
