Claim_ID,Current_File,Current_Section,Exact_Claim,Relevant_Dates,People,Entities,Source_IDs,Evidence_Status,Confidence_0_to_100,Supporting_Evidence,Counterevidence,Alternative_Explanation,Recommended_Wording,Open_Question,Additional_Record_Needed
CH4-FLGROUP-RUSSIAN-011,Tmanch_CH4.md,FL Group,"FL Group’s $50 million came from the Russian state or Putin-favored oligarchs.",2007,Tevfik Arif;Felix Sater,FL Group;Bayrock,PS4-003,Unverified lead,35,"Later complaints and commentary describe Russian-connected investors.",Contemporaneous FL disclosure identifies public shareholders and financing but not Kremlin funding.,Icelandic institutional capital raised through ordinary debt/equity.,"The beneficial owners and funding sources behind FL Group’s investment remain a records question; Kremlin or Russian-state funding is not established.",Who funded the investing vehicle?,Beneficial-owner records; subscription funds; bank wires; lender records
CH4-SOHO-THRESHOLD-012,Tmanch_CH4.md,Trump SoHo,"The Trump SoHo offering plan required roughly 15% or 60 non-defaulted contracts before effectiveness.",2006-2010,Trump family;developers,Trump SoHo sponsor,PS4-004;PS4-005,Strongly documented,90,"Buyer complaint and contemporaneous reporting identify the threshold and effectiveness mechanics.",Official offering-plan text should supersede summaries.,Standard New York condo effectiveness threshold.,"The project depended on a minimum presale threshold before the offering plan became effective.",What precisely counted as a qualifying contract?,Offering plan; amendments; AG filings; contract ledger
CH4-SOHO-SALES-CLAIMS-013,Tmanch_CH4.md,Trump SoHo,"Public sales claims materially exceeded the roughly 16% reflected when the plan became effective.",2007-2010,Donald Trump Jr.;Ivanka Trump;Donald Trump,Trump SoHo,PS4-004;PS4-005,Civil allegation and contemporaneous statements,88,"Reports compare 30–60% public claims with 62 of 391 units.",Reservations, later cancellations, timing, and speaker definitions may explain some differences.,Aggressive marketing based on gross or nonbinding reservations.,"Purchasers alleged that public sell-through claims substantially exceeded binding-contract figures used for plan effectiveness.",Which contracts existed on each statement date?,Sales ledger; reservations; cancellations; scripts; emails
CH4-SOHO-SETTLEMENT-014,Tmanch_CH4.md,Trump SoHo,"Ten purchasers received 90% refunds; defendants admitted no wrongdoing.",2011,Trump family;developers,Trump SoHo,PS4-006,Established settlement,98,"Settlement reporting states refund percentage and no admission.",Settlement is not a merits judgment.,Commercial resolution to reduce litigation risk.,"The buyer litigation ended for ten purchasers with 90% deposit refunds and no admission of wrongdoing.",What release and confidentiality terms applied?,Settlement agreement; escrow disbursements; releases
CH4-ALMATY-JUDGMENT-015,Tmanch_CH4.md,Almaty/BTA,"Later Almaty/BTA litigation produced judgment against Sater and Bayrock entities involving stolen Kazakh funds, now on appeal.",2019-2026,Felix Sater;Mukhtar Ablyazov;Ilyas Khrapunov,Bayrock;BTA Bank;City of Almaty,PS4-007;PS4-008;PS4-009,Established judicial history subject to appeal,94,"Jury verdicts, district judgment, and 2026 appeal docket exist.",Appeal may alter judgment; scope of Trump SoHo-linked funds must be traced.,Independent misconduct by Sater/Bayrock after or alongside Trump relationship.,"Sater and Bayrock entities face an entered civil judgment in the Almaty/BTA stolen-funds litigation, subject to appellate review.",Which Trump-related transactions contained traced funds?,Trial exhibits; unit files; bank tracing; judgment; appeal record
CH4-TRUMP-KNOWLEDGE-KAZAKH-016,Tmanch_CH4.md,Almaty/BTA,"Trump knew stolen Kazakh funds entered Trump-related transactions.",2008-2012,Donald Trump;Felix Sater,Trump Organization;Bayrock,PS4-007;PS4-008,Insufficient public evidence,20,"Trump-related projects appear in allegations and Sater/Bayrock network.",Trump and Trump Organization were not defendants; no knowledge finding.,Funds moved without licensor knowledge.,"The public record does not establish that Trump knew the source of funds traced in the Almaty/BTA litigation.",What communications reached Trump entities?,Bank records; buyer files; emails; compliance reviews
CH4-DEUTSCHE-CHICAGO-017,Tmanch_CH4.md,Deutsche Bank,"Trump defaulted or disputed Chicago construction debt and sued Deutsche Bank for about $3 billion.",2008-2010,Donald Trump,Deutsche Bank;Chicago project,PS4-010,Established litigation,96,"Court and contemporaneous records document force-majeure dispute and counterclaims.",Settlement terms remain incomplete.,Hard-nosed restructuring during global crisis.,"The Chicago project produced severe adversarial litigation between Trump and Deutsche Bank before the relationship later resumed.",What debt was forgiven or restructured?,Complaint; counterclaim; settlement; tax records
CH4-DEUTSCHE-PRIVATEWEALTH-018,Tmanch_CH4.md,Deutsche Bank,"Deutsche Bank’s private-wealth unit later made major Trump loans after the commercial-real-estate dispute.",2011-2014,Donald Trump;Rosemary Vrablic,Deutsche Bank,PS4-011,Established by judicial record,98,"People v. Trump identifies Doral, Chicago refinance, and OPO loans.",Different business units may have independent risk decisions.,Private banking based on guarantees and collateral.,"Deutsche Bank resumed major lending through its private-wealth operation after the Chicago dispute.",How was prior default disclosed and overridden?,Credit memos; committee minutes; risk exceptions; participation records
CH4-PEOPLE-V-TRUMP-019,Tmanch_CH4.md,Deutsche Bank,"Trump entities used false or misleading financial statements in obtaining Deutsche Bank loans.",2011-2014,Donald Trump;Trump executives,Trump Organization;Deutsche Bank,PS4-011,Official judicial finding,99,"New York appellate decision preserves fraud liability and identifies loans.",Monetary disgorgement remedy was vacated; lenders performed some due diligence.,Bank may have priced credit on guarantees and relationship beyond statements.,"New York courts preserved liability for persistent fraud involving statements used in major Deutsche Bank transactions while altering the remedy.",What did bank staff actually rely on?,Loan files; reliance analyses; appraisals; testimony
CH4-DEUTSCHE-MIRROR-020,Tmanch_CH4.md,Deutsche Bank,"Deutsche Bank moved about $10 billion out of Russia through mirror trading and had severe AML failures.",2011-2015,Deutsche employees,Deutsche Bank Moscow;London;New York,PS4-012,Official regulatory finding,100,"NY DFS consent order and penalty.",Separate desks and customers from Trump lending.,Independent bank-wide compliance failure.,"Deutsche Bank’s Russian mirror-trading system and AML failures are independently established.",Which internal systems or personnel overlapped?,DFS exhibits; internal audits; personnel maps; account data
CH4-DEUTSCHE-OVERLAP-021,Tmanch_CH4.md,Deutsche Bank,"Russian mirror-trading proceeds financed Trump loans.",2011-2015,Donald Trump,Deutsche Bank,PS4-011;PS4-012,Unproven,15,"Same global bank and overlapping period create a legitimate inquiry.",No public funds-flow bridge; different units and counterparties.,Unrelated operations within a large bank.,"No public record presently traces mirror-trading proceeds into a Trump loan.",Were loan participations or deposits Russian-linked?,Syndication; correspondent accounts; beneficial owners; source-of-funds reviews
CH4-RUSSIAN-BUYERS-022,Tmanch_CH4.md,Foreign buyers,"At least 63 Russian passport/address buyers purchased $98.4 million in seven South Florida Trump-branded towers.",2001-2016,Russian purchasers,Trump-branded Florida towers,PS4-013,Established by deed-level investigative reporting,96,"Reuters reviewed deeds and purchaser data.",Conservative count; projects had varying Trump ownership; Reuters found no wrongdoing.,Normal global luxury-property demand.,"Russian purchasers constituted a material, documented constituency in Trump-branded South Florida projects.",How much revenue reached Trump entities?,Licenses; commissions; deeds; beneficial ownership; fee ledgers
CH4-TRUMPJR-RUSSIAN-DEMAND-023,Tmanch_CH4.md,Foreign buyers,"Donald Trump Jr. said Russians were a disproportionate cross-section of Trump assets and money was pouring in from Russia.",2008,Donald Trump Jr.,Trump Organization,PS4-014,Contemporaneous statement,92,"Conference quotation repeatedly documented.",Statement is broad and not audited financial data.,Sales rhetoric about an important market.,"Trump Organization leadership publicly recognized Russian demand as materially important.",Which assets and amounts did he mean?,Conference recording; internal sales reports; buyer ledgers
CH4-RYBOLOVLEV-PRICE-024,Tmanch_CH4.md,Rybolovlev,"Rybolovlev paid $95 million for a Palm Beach property Trump bought for about $41.35 million.",2004-2008,Donald Trump;Dmitry Rybolovlev,County Road Property;trusts,PS4-015,Established transaction,99,"Deeds and Senate inquiry document price and timing.",Renovations, waterfront scarcity, and later parcel sales provide value explanations.,Aggressive trophy-property investment and asset diversification.,"The sale was a major crisis-era liquidity event at a very large gain.",What did appraisals and compliance reviews show?,Appraisals; bank wires; SARs; communications; closing file
CH4-RYBOLOVLEV-PURPOSE-025,Tmanch_CH4.md,Rybolovlev,"The $95 million purchase was a bribe or laundering transaction.",2008,Donald Trump;Dmitry Rybolovlev,Financial institutions,PS4-015,Unverified hypothesis,25,"Price, timing, nonresidence, and Senate SAR request support inquiry.",Later subdivision sales reportedly recovered substantial value; no public criminal finding.,Divorce planning, asset diversification, speculative land purchase.,"The transaction warrants source-of-funds and purpose review but is not proof of bribery or laundering.",What was the buyer’s documented purpose?,SARs; divorce records; appraisals; correspondence; bank compliance
CH4-TORONTO-VEB-026,Tmanch_CH4.md,Toronto,"VEB-financed proceeds from Shnaider’s steel transaction may have supplied about $15 million to Trump Toronto.",2010,Alexander Shnaider,VEB;Trump Toronto project,PS4-016,Conflicting documentary reporting,48,"A lawyer initially linked proceeds then withdrew the account.",Trump said it had no VEB dealings and no project equity; source statement recanted.,Developer used unrelated sale proceeds or other capital.,"Trump Toronto presents an unresolved indirect state-bank capital pathway.",Did traced VEB-funded proceeds enter the project?,Steel-sale settlement; project bank statements; intercompany ledgers
CH4-BAKU-PEP-027,Tmanch_CH4.md,Baku,"Trump licensed a project with Azerbaijan’s politically exposed Mammadov family.",2012-2016,Anar Mammadov;Ziya Mammadov;Ivanka Trump,Mammadov entities;Trump Organization,PS4-017;PS4-018,Strong documentary reporting,94,"Project records and detailed reporting identify political exposure and Trump involvement.",PEP status alone is not corruption.,Commercial licensing in a state-dominated economy.,"The Baku project exposed the Trump licensing model to a highly politically exposed partner network.",What diligence and accounting access existed?,License; diligence; bank wires; contractor and ownership files
CH4-BAKU-IRGC-028,Tmanch_CH4.md,Baku,"Trump knowingly received IRGC-linked funds.",2012-2016,Donald Trump;Mammadov family,Trump Organization;Azarpassillo;IRGC-linked entities,PS4-017;PS4-018,Insufficient evidence,30,"Reporting identifies contractor relationships and 2015 knowledge of risk.",No adjudication traces sanctioned money to Trump or proves intentional dealing.,Local partner selected contractors without licensor control.,"IRGC-linked counterparty risk was identified; intentional receipt of sanctioned funds is not established.",What payments funded Trump fees?,Wires; invoices; contractor ownership; compliance memoranda
CH4-PANAMA-SPV-029,Tmanch_CH4.md,Panama,"Trump Ocean Club presales used numerous unit-specific special-purpose companies and opaque ownership structures.",2005-2011,Developers;brokers;buyers,Trump Ocean Club Panama,PS4-019,Investigative finding,88,"Global Witness identified at least 139 SPVs and warning-sign structures.",Investigative report is not a criminal judgment; SPVs can be lawful.,Ordinary investment and transfer planning.,"Panama demonstrates an opaque bulk-presale architecture relevant to beneficial-ownership research.",Which entities were criminal or related?,Corporate registry; contracts; deposits; beneficial owners; broker files
CH4-MISSUNIVERSE-PAYMENT-030,Tmanch_CH4.md,Miss Universe,"The Agalarovs funded and hosted Miss Universe Moscow, which was highly lucrative for the pageant organization despite host losses.",2013,Donald Trump;Aras Agalarov;Emin Agalarov,Crocus Group;Miss Universe Organization,PS4-020;PS4-021,Official investigative finding and documentary reporting,94,"Senate analysis describes economics and loss asymmetry.",Host may have valued publicity and follow-on development rather than event profit.,Prestige marketing and entertainment promotion.,"The pageant was a paid business event that generated substantial Trump-side economics and elite access.",What were exact gross and net payments?,Contract; wires; sponsor invoices; expense ledger; tax records
CH4-PUTIN-MEETING-031,Tmanch_CH4.md,Miss Universe,"Trump and representatives repeatedly sought a meeting with Putin during the 2013 pageant.",2013,Donald Trump;Aras Agalarov;Vladimir Putin,Crocus;Kremlin,PS4-020,Official Senate finding,98,"Senate record details repeated efforts and Aras’s involvement.",Seeking a head-of-state meeting can be ordinary business promotion.,Prestige and project access.,"Trump actively sought personal Kremlin access during the pageant.",What promises or asks accompanied the effort?,Emails; calendars; Kremlin and Crocus records; interviews
CH4-PUTIN-GIFT-032,Tmanch_CH4.md,Miss Universe,"Putin sent a gift and letter after declining to attend.",2013,Vladimir Putin;Donald Trump,Kremlin;Miss Universe,PS4-020,Strongly documented official finding,92,"Senate record and Trump Jr. note support the gift/letter account.",A ceremonial gift does not establish a substantive relationship.,Routine diplomatic courtesy.,"The reported gift and letter helped preserve the appearance and possibility of personal Kremlin access.",What exactly did the letter say?,Original letter; gift record; courier logs; photographs
CH4-AGALAROV-TOWER-033,Tmanch_CH4.md,Moscow tower,"Miss Universe was followed by preliminary Trump Tower Moscow negotiations with the Agalarovs.",2013-2014,Donald Trump Jr.;Irek Kaveladze;Aras Agalarov,Trump Organization;Crocus Group,PS4-021,Established by Mueller/Senate record,97,"Preliminary terms and LOI negotiations are described.",The project did not close.,Normal follow-on business from a successful event.,"The pageant relationship directly generated Moscow real-estate negotiations.",What were exact economics and approvals?,LOI drafts; site studies; financing proposals; emails
CH4-AGALAROV-2016-BRIDGE-034,Tmanch_CH4.md,Agalarov network,"The same commercial network later initiated the June 2016 Trump Tower meeting.",2013-2016,Aras Agalarov;Emin Agalarov;Rob Goldstone;Irek Kaveladze;Trump family,Crocus;Trump campaign,PS4-020;PS4-021,Established continuity,99,"Official reports trace the relationship and meeting outreach.",Continuity does not prove the 2013 event was created for 2016 political purposes.,A business friendship later used for political outreach.,"The 2016 approach came through a durable relationship created and maintained by the 2013 commercial transaction.",Were there intervening requests or reciprocal benefits?,Full communications; gifts; travel; project files
CH4-KOMPROMAT-035,Tmanch_CH4.md,Counterintelligence,"Russian intelligence obtained and used kompromat from Trump’s 2013 Moscow trip.",2013,Donald Trump,Russian intelligence,PS4-020,Officially investigated allegation; not established,20,"Senate examined allegations and high-risk environments.",No public recording, chain of custody, or leverage event established.,Routine surveillance without actionable material; false allegation.,"The trip presented counterintelligence risk, but public evidence does not establish usable kompromat.",Do intelligence or hotel records exist?,Classified reporting; hotel security; witness records; surveillance files
CH4-GEOVANIS-CORRECTION-036,Tmanch_CH4.md,Chronology,"David Geovanis was Trump’s escort during the 2013 pageant trip.",1996;2013,David Geovanis;Donald Trump,Russia travel network,PS4-020,Contradicted by chronology,5,"Geovanis is principally associated with the 1996 Moscow trip.",No separate primary record places him as official 2013 escort.,Conflation of different Moscow trips.,"Remove Geovanis as the 2013 escort unless a distinct source is found.",Did he have any 2013 role at all?,Travel manifests; guest lists; calendars
CH4-LICENSING-RISK-037,Tmanch_CH4.md,Comparative projects,"Licensing allowed Trump to receive fees and access while local partners and lenders bore most project risk.",2001-2014,Donald Trump,Trump Organization;local project entities,PS4-017;PS4-019;PS4-022,Established business pattern,93,"Baku, Panama, Toronto, Bayrock, and other projects show recurring structure.",Some projects included Trump equity, guarantees, or reputational risk.,Conventional hotel-brand model.,"Licensing separated Trump revenue and access from primary development ownership and downside.",How much was earned before failure or termination?,Executed licenses; fee ledgers; guarantees; termination payments
CH4-OUTSIDE-CAPITAL-038,Tmanch_CH4.md,Conclusion,"Outside debt, investors, presales, and buyers supplied most capital across major projects.",2001-2014,Multiple,Multiple project entities,PS4-001;PS4-003;PS4-004;PS4-011;PS4-013,Strongly supported,94,"Project structures consistently rely on external capital.",Trump supplied guarantees and some equity in selected projects.,Normal leveraged real estate.,"The era scaled the Chapter 3 outside-capital model internationally.",What was Trump’s net cash contribution project by project?,Capital calls; bank records; guarantees; distributions
CH4-CENTRAL-CONSPIRACY-039,Tmanch_CH4.md,Conclusion,"All Bayrock, Deutsche Bank, buyer, licensing, and Agalarov transactions were one centrally directed Kremlin conspiracy.",2001-2014,Multiple,Multiple,PS4-001 through PS4-022,Analytical hypothesis unsupported as a unified claim,12,"Recurring post-Soviet actors and compatible mechanisms justify network mapping.",Different capital sources, motives, dates, jurisdictions, and counterevidence; no command document.,Converging opportunistic networks.,"The evidence supports interoperable networks and repeated susceptibility more strongly than one proven centrally directed conspiracy.",Is there a common controller or instruction chain?,Communications; intelligence records; beneficial-owner graph; funds tracing
CH4-PLATFORM-LEVERAGE-040,Tmanch_CH4.md,Conclusion,"The brand-and-access platform created potential foreign leverage even without direct control.",2001-2014,Donald Trump,Trump Organization;foreign counterparties,PS4-001;PS4-011;PS4-013;PS4-017;PS4-020,Analytical inference supported by documented dependencies,86,"Ongoing fees, future projects, concealed risks, and elite access create incentives and information asymmetries.",Commercial dependence does not automatically produce political influence.,Ordinary reciprocal business incentives.,"The documented platform created susceptibility and leverage risks because counterparties controlled capital, access, information, and future opportunities.",Can a specific policy or statement be linked to a specific benefit?,Transaction timing; communications; policy requests; intelligence assessments
