Claim_ID,Current_Section,Exact_Claim,Relevant_Dates,People,Entities,Evidence_Class,Confidence_0_to_100,Supporting_Evidence,Counterevidence,What_It_Proves,What_It_Does_Not_Prove,Recommended_Wording,Open_Question,Records_Needed
"CH5-PAP-LIES-014","3.1","Papadopoulos lied to the FBI about timing and significance of Russian contacts.","2017","George Papadopoulos","FBI; Special Counsel","Criminal guilty plea","100","Criminal information; plea; statement of offense","He later cooperated to a degree","Investigators received false contact history","Election conspiracy","Papadopoulos admitted false statements that impeded reconstruction of his Russian contacts.","What evidence was lost due to delay or deletion?","Device forensics; provider records; foreign liaison material"
"CH5-JUNE9-OFFER-015","3.2","The Agalarov–Goldstone channel offered official Russian derogatory information as government support for Trump.","2016-06-03","Donald Trump Jr.; Rob Goldstone; Emin and Aras Agalarov","Trump campaign; Crocus network","Contemporaneous email","100","Released Goldstone email chain; Senate materials","Goldstone's wording may have been promotional exaggeration","The offer was explicitly framed as Russian government support","Actual Kremlin authorization or delivery of useful information","A long-standing commercial channel transmitted an explicitly political offer framed as Russian government support.","Who originated Goldstone's language and proposal?","Agalarov communications; Kaveladze records; Russian-side meeting preparation"
"CH5-JUNE9-ACCEPT-016","3.2","Senior campaign officials accepted the June 9 meeting instead of reporting the approach.","2016-06-09","Donald Trump Jr.; Jared Kushner; Paul Manafort","Trump campaign","Contemporaneous email; testimony","100","Email chain; witness testimony; SSCI and Mueller records","Attendees say the meeting produced nothing useful","Receptivity to offered foreign assistance","Criminal agreement or valuable information delivered","The campaign accepted a meeting advertised as providing Russian government-supported derogatory information.","Did Trump know beforehand and what calls surrounded the meeting?","Call records; blocked-number identity; witness communications; Secret Service logs"
"CH5-JUNE9-NOUSEFUL-017","3.2","No reliable public evidence establishes that useful derogatory information was delivered at the meeting.","2016-06-09","Meeting participants","Trump campaign; Russian participants","Bipartisan investigation finding; witness record","93","SSCI Republican summary; Mueller Report","Some accounts conflict and records are incomplete","Limits the substantive value of the meeting","Eliminates receptivity or access significance","The public investigations did not establish that the meeting delivered useful campaign information.","Were follow-up channels or materials transmitted later?","Post-meeting communications; Russian participant devices; document exchange records"
"CH5-MANAFORT-DATA-018","3.3","Manafort and Gates transmitted internal polling and campaign strategy information to Kilimnik.","2016","Paul Manafort; Rick Gates; Konstantin Kilimnik","Trump campaign","Testimony; official report; Treasury finding","99","Mueller Report; SSCI Volume 5; Gates testimony; Treasury 2021","Exact files, completeness, and intent remain partly unresolved","Sensitive internal information moved to Kilimnik","Manafort knew every recipient or operational use","Manafort repeatedly shared sensitive campaign information with Kilimnik.","What exact datasets and geographic details were transferred?","Original files; transmission metadata; Gates/Manafort devices; Kilimnik copies"
"CH5-KILIMNIK-RIS-019","3.3","Kilimnik was a known Russian Intelligence Services agent.","2016; official statement 2021","Konstantin Kilimnik","Russian Intelligence Services","Official Treasury determination","99","Treasury April 15, 2021; SSCI findings","Public evidence does not disclose all underlying intelligence","Official U.S. attribution","Manafort's subjective knowledge at every contact","Treasury identified Kilimnik as a known Russian Intelligence Services agent.","What intelligence establishes role and chain of command?","Declassified intelligence; sanctions evidentiary memorandum; liaison reporting"
"CH5-KILIMNIK-RECEIPT-020","3.3","Kilimnik provided Russian intelligence with sensitive polling and campaign strategy information.","2016; official statement 2021","Konstantin Kilimnik; Paul Manafort; Rick Gates","Russian Intelligence Services; Trump campaign","Official Treasury determination","99","Treasury April 15, 2021","Operational use is not publicly detailed","Russian intelligence receipt of sensitive campaign information","That data altered the election or Manafort intended espionage","Treasury stated that Kilimnik provided Russian intelligence sensitive polling and strategy information.","How was the data used and who received it?","Russian intelligence reports; sanctions files; analytic products; IRA targeting data"
"CH5-MANAFORT-INTENT-021","3.3","The public record does not fully establish Manafort's intent in sharing data or his knowledge of Kilimnik's current intelligence role.","2016","Paul Manafort; Konstantin Kilimnik","Trump campaign","Evidentiary limitation","88","SSCI redactions; Mueller findings; Manafort lies","Treasury establishes recipient's intelligence role","Important limit on mens rea","That transfer was harmless or ordinary","The transfer created a grave counterintelligence risk; Manafort's full intent remains unresolved publicly.","Was data linked to debts, Deripaska, Ukraine plan, or expected benefit?","Deripaska correspondence; debt ledgers; witness interviews; intelligence reporting"
"CH5-STONE-022","3.4","Stone sought and claimed advance information about WikiLeaks releases and concealed the inquiry.","2016-2019","Roger Stone; Randy Credico; Jerome Corsi; campaign officials","Trump campaign; WikiLeaks","Jury verdict; official investigation","99","Stone trial record; DOJ verdict; Mueller Report; SSCI","His actual access was inconsistent and sometimes exaggerated","Information-seeking, false accounts, obstruction, witness pressure","Control of WikiLeaks or participation in hacking","Stone was convicted for obstructing and lying about his WikiLeaks-related communications and pressuring a witness.","What did Trump know and when?","Call records; campaign communications; unredacted interviews; Stone devices"
"CH5-PAGE-CI-023","3.5","Page's Russian contacts generated legitimate counterintelligence concern.","2013-2016","Carter Page; Russian intelligence officers","Trump campaign; FBI","Court and official investigation record","90","Prior Russian recruitment attempt; Moscow travel; OIG report","Page denied wrongdoing and was never charged as an agent","A reasonable CI question existed","That Page was a Russian agent or election conspirator","Page's history justified investigation of specific contacts, not assumptions of guilt.","What contacts and offers were verified independently?","Russian case files; Page communications; interview reports"
"CH5-PAGE-FISA-024","3.5; 10.1","The Page FISA applications contained 17 significant inaccuracies or omissions.","2016-2017; report 2019","Carter Page; FBI personnel","FBI; FISA Court","Inspector General finding","100","DOJ OIG report and testimony","Errors do not negate unrelated Russia evidence","Serious surveillance-process failure","Entire Crossfire Hurricane fabrication","The Inspector General found 17 significant errors and omissions and failures of scrupulous accuracy.","Which remedial actions and accountability followed?","FISA court orders; disciplinary files; Woods-file audits"
"CH5-CROSSFIRE-PREDICATE-025","10.1","Crossfire Hurricane had an authorized purpose and sufficient factual predication under the applicable threshold.","2016; OIG 2019","FBI officials; Papadopoulos","FBI; DOJ OIG","Inspector General finding","98","OIG report and Horowitz testimony","Durham later criticized rigor and standards; Page FISA flawed","Opening was not solely a dossier-driven invention","Every investigative step was proper","The OIG found sufficient predication and no evidence political bias caused the opening.","What additional declassified opening material exists?","Electronic communication; source reporting; foreign liaison records"
"CH5-MUELLER-LIMITS-026","4.3","False, incomplete, deleted, encrypted, and unavailable evidence limited investigative confidence.","2016-2019","Manafort; Stone; Cohen; Flynn; Papadopoulos; foreign witnesses","Special Counsel investigation","Official report; criminal dispositions","98","Mueller Report; pleas; verdicts; SSCI","Investigators still obtained extensive evidence","Explains limits of 'not established' conclusion","Permits presuming conspiracy","Investigation limitations mean 'not established' should not be rewritten as 'affirmatively disproved.'","Which missing evidence can now be recovered or declassified?","Grand jury; cloud backups; foreign evidence; intelligence annexes"
"CH5-FLYNN-027","5.1","Flynn discussed sanctions-related matters with Kislyak and lied to the FBI about the calls.","2016-12; 2017 plea","Michael Flynn; Sergey Kislyak","Trump transition; Russian embassy","Guilty plea; official communications record","100","Flynn statement of offense; call transcripts","Case later subject to DOJ dismissal effort and presidential pardon","Concealed sanctions communication and false account","Russian direction of the Trump administration","Flynn's false account created leverage because Russia knew the true contents.","Who directed the calls and what internal transition discussions occurred?","Transition emails; call preparation; Kislyak reporting; White House records"
"CH5-KUSHNER-CHANNEL-028","5.2","Kushner and Flynn discussed a confidential communications channel with Kislyak.","2016-12","Jared Kushner; Michael Flynn; Sergey Kislyak","Trump transition; Russian embassy","Official report; testimony","94","Mueller Report; SSCI; congressional testimony","No public proof a Russian-facility channel became operational","Proposal for an unusual unofficial channel","Espionage or completed covert system","Transition officials discussed a confidential channel outside ordinary diplomatic processes.","What exact facilities and subjects were contemplated?","Kislyak cables; transition notes; intelligence intercept reporting"
"CH5-GORKOV-029","5.3","Kushner and VEB gave materially different descriptions of his meeting with Gorkov.","2016-12","Jared Kushner; Sergey Gorkov","Kushner Companies; VEB; Trump transition","Official report; party statements","96","Mueller Report; SSCI; VEB statement; Kushner account","No public evidence of resulting financing","Information asymmetry and conflict concern","Illicit financing agreement","The parties' divergent descriptions made the state-bank meeting a serious counterintelligence and conflict question.","Were 666 Fifth Avenue or other financing needs discussed?","VEB briefing papers; Kushner calendars; financing presentations; Russian reporting"
"CH5-PRINCE-030","5.4","Prince met Dmitriev in Seychelles and gave an account the Senate found inconsistent with other evidence.","2017-01","Erik Prince; Kirill Dmitriev","RDIF; Trump transition orbit","Bipartisan congressional finding","93","SSCI Volume 5; witness records","Prince denied acting as a formal transition envoy","Unofficial contact and testimony inconsistency","Trump-directed durable backchannel","The Seychelles meeting created an unofficial channel whose authorization and purpose remain unresolved.","Who tasked or briefed Prince before and after?","Travel, phone, Bannon communications, Nader records, RDIF memoranda"
"CH5-NODIVEST-031","6.1","Trump retained ownership of a foreign-facing business while serving as President.","2017-2021","Donald Trump; Trump family","Trump Organization","Public corporate and ethics record","100","Trust documents; financial disclosures; company statements","Management was delegated and ethics measures were announced","Continuing economic exposure","Every foreign payment was corrupt","Trump retained economic interests in a global business during his presidency.","What was the complete property-by-property income?","Tax returns; general ledgers; trust distributions; licensing statements"
"CH5-FOREIGN-PAYMENTS-032","6.2","Mazars-derived records identified at least $7.8 million from 20 foreign governments through four Trump properties.","2017-2018; report 2024","Donald Trump; foreign officials","Trump Organization; House Oversight","Accounting records summarized in congressional staff report","96","House Oversight report and produced Mazars records","Incomplete time period/entities; committee staff constitutional analysis contested","Foreign-government revenue occurred","Policy purchase or total foreign revenue","Accounting records document at least $7.8 million in foreign-government payments at four properties during part of the presidency.","Which payments coincided with access or policy requests?","Full ledgers; invoices; guest lists; bank statements; policy timelines"
"CH5-HELSINKI-033","7.1","Trump's Helsinki remarks elevated Putin's denial and undercut confidence in U.S. intelligence findings.","2018-07-16","Donald Trump; Vladimir Putin","U.S. and Russian governments","Official transcript; analytical assessment","98","White House transcript; public intelligence findings","Trump later attempted to clarify 'would' versus 'wouldn't'; sanctions continued","Public presidential divergence and Russian propaganda benefit","Kremlin command or private agreement","At Helsinki, Trump publicly treated Putin's denial as credible beside his own intelligence community's findings.","What was discussed in private and what records exist?","Interpreter notes; briefing books; memoranda of conversation; Putin readout"
"CH5-CAATSA-034","7.2","Trump signed CAATSA while objecting to congressional constraints.","2017-08-02","Donald Trump; Congress","U.S. government","Primary presidential record","100","Signing statement; statute","Signing implemented statutory sanctions architecture","Uniform opposition to sanctions or proof of subservience","Trump signed CAATSA but formally objected to restrictions on executive discretion.","How did objections affect implementation delays or waivers?","NSC, State, Treasury implementation records"
"CH5-SANCTIONS-035","7.2","The administration imposed substantial sanctions and expulsions against Russian interests.","2017-2020","Trump administration officials; Russian oligarchs and entities","Treasury; State; DHS; DOD","Official government actions","100","Treasury releases; expulsion announcements; CAATSA records","Some measures were congressionally mandated or advanced over Trump's reluctance","Material counterevidence to total-control theory","Trump personally favored every measure","The administration sanctioned hundreds of Russia-related actors, expelled intelligence officers, and took other adverse actions.","Which measures did Trump resist, delay, or privately seek to reverse?","Decision memos; waiver requests; presidential directives; testimony"
"CH5-JAVELIN-036","7.2","The Trump administration approved lethal Javelin sales to Ukraine.","2017-2018","Trump administration; Ukrainian government","DSCA; DOD","Official arms-sale record","100","DSCA notifications; State/DOD announcements","Aid was later withheld in 2019; sale conditions existed","Significant policy contrary to Russian interests","No vulnerability or no pro-Russian conduct elsewhere","The administration approved lethal anti-tank weapons for Ukraine, an important countervailing action.","What internal debate and presidential involvement occurred?","NSC and DOD decision records; presidential briefings"
"CH5-UKRAINE-HOLD-037","8.1","OMB withheld congressionally appropriated Ukraine security assistance and GAO found the hold unlawful.","2019","Donald Trump; OMB officials","OMB; DOD; State; Ukraine","GAO legal decision; congressional record","100","GAO B-331564; impeachment record","Aid was ultimately released; GAO ruling was statutory not criminal","Unlawful withholding for policy reason","Russian direction or criminal conviction","GAO found OMB violated the Impoundment Control Act by withholding Ukraine assistance for a policy reason.","Who originated and maintained the hold and what reasons were recorded?","OMB apportionment files; emails; NSC records; witness testimony"
"CH5-IMPEACHMENT-038","8.2","The House impeached Trump for abuse of power and obstruction; the Senate acquitted him.","2019-2020","Donald Trump; House and Senate","Congress","Constitutional proceedings","100","H.Res. 755; Senate votes","Impeachment is not criminal conviction; acquittal ended removal trial","Conflicting constitutional outcomes and established historical record","Judicial guilt or innocence","The House impeached Trump over Ukraine conduct and the Senate acquitted him on both articles.","What withheld documents would alter the factual record?","OMB, State, NSC, Giuliani, and White House records"
"CH5-UKRAINE-MOTIVE-039","8.3","The strongest documented motive for the Ukraine pressure campaign was personal electoral advantage, not proven Russian direction.","2019","Donald Trump; Rudy Giuliani; Ukrainian officials","White House; Ukraine","Congressional finding; analytical conclusion","94","Impeachment record; witness testimony; call memorandum","Trump disputed improper motive; broader anti-corruption rationale asserted","Personal political mechanism and objective benefit to Moscow","Kremlin tasking","The episode showed presidential security policy used to seek foreign production of politically useful investigations.","Did Russian-linked actors seed or support the Ukraine narratives?","Derkach/Kilimnik communications; Giuliani records; intelligence reporting"
"CH5-2020-PUTIN-040","9.1","ODNI assessed with high confidence that Putin authorized 2020 influence operations supporting Trump and denigrating Biden.","2020; report 2021-03-16","Vladimir Putin; Russian actors","Russian government; U.S. Intelligence Community","Declassified Intelligence Community assessment","99","ODNI ICA 2020-00078D","Assessment did not find technical vote alteration and public version protects sources","State authorization and strategic objective","Formal Trump campaign agreement or changed outcome","The Intelligence Community assessed that Putin authorized a 2020 pro-Trump influence operation.","What specific presidential directives and intelligence reports underlie the judgment?","Declassified sourcing annexes; sanctions evidentiary records"
"CH5-2020-PROXIES-041","9.2","Russian intelligence-linked proxies laundered anti-Biden and pro-Trump narratives through American actors.","2020","Andriy Derkach; Konstantin Kilimnik; U.S. intermediaries","Russian intelligence; media and political networks","Declassified ICA; Treasury sanctions","98","ODNI 2021 assessment; Treasury releases","Knowledge varied among American recipients","Influence-laundering method and proxy network","Every U.S. amplifier knowingly collaborated","Russian services used proxies and American channels to make foreign narratives appear domestic.","Which Americans knew the source and what consideration passed?","Communications; payment records; interviews; intelligence reports"
"CH5-OIG-BIAS-042","10.1","OIG found no documentary or testimonial evidence that political bias caused the opening of Crossfire Hurricane.","2019","FBI leadership and case team","DOJ OIG","Inspector General finding","98","OIG report and Horowitz testimony","Durham disputed rigor and institutional judgment, not this exact evidentiary record","Limits claim of politically fabricated opening","No individual bias or later misconduct","The OIG did not find evidence that political bias caused the authorized opening.","What does later declassified material add?","Durham appendix; internal messages; source validation files"
"CH5-DURHAM-043","10.3","Durham identified serious FBI failures but did not disprove Russian interference.","2019-2023","John Durham; FBI personnel","DOJ Special Counsel Durham","Official report and case outcomes","97","Durham Report; Clinesmith plea; Sussmann and Danchenko verdicts","Durham's interpretive conclusions are contested; jury acquittals limited criminal theory","Investigative defects and confirmation-bias concerns","That Russia did not interfere or all evidence was fabricated","Durham's report materially criticizes FBI methods while leaving Russian interference findings intact.","What newly declassified appendix material changes specific claims?","Full appendix; source-handling files; foreign intelligence referrals"
"CH5-MUELLER-OBSTRUCTION-044","11.1","Mueller did not exonerate Trump on obstruction and did not make a traditional prosecution decision.","2017-2019","Donald Trump; Robert Mueller","Special Counsel","Official report and public statement","100","Mueller Report Volume II; May 29 statement","No criminal charge or adjudicated obstruction conviction","Defined investigative conclusion and DOJ-policy constraint","Criminal guilt beyond reasonable doubt","Mueller stated that if confident Trump clearly did not commit a crime, the office would have said so.","What evidence remains grand-jury protected or redacted?","Rule 6(e) material; witness interview reports; executive privilege records"
"CH5-CLEMENCY-045","11.3","Trump granted clemency to Manafort, Stone, and Flynn after their Russia-related cases.","2020","Donald Trump; Paul Manafort; Roger Stone; Michael Flynn","White House","Primary presidential record","100","White House clemency records","Pardon power constitutional; recipients had other arguments for relief","Clemency affected accountability and witness incentives","Explicit pardon-for-silence agreement","Trump granted relief to key figures who possessed information relevant to Russia investigations.","Were loyalty, testimony, or noncooperation discussed?","White House Counsel files; attorney messages; intermediary communications"
"CH5-SIXDEGREES-046","12","Commercial, family, political, and governmental networks repeatedly carried different forms of value and access.","2015-2021","Agalarovs; Sater; Manafort; Stone; Kushner; Trump family","Trump Organization; campaign; transition; government","Network inference grounded in documented transactions","93","Commercial histories; emails; official reports; financial records","Interoperability does not prove one command structure","Broad attack surface and recurring intermediaries","Unified conspiracy","The same relationship networks could transmit deals, political offers, diplomatic messages, information, and access.","Which recurring intermediaries received compensation or reciprocal benefits?","Cross-project entity graph; payment ledger; communications; calendars"
"CH5-CORE-047","Conclusion","The public record establishes susceptibility and exploitation more strongly than formal Russian control.","2015-2021","Donald Trump; campaign and administration figures; Russian state actors","Trump campaign; U.S. government; Russian government","Synthetic assessment","94","Mueller; SSCI; OIG; Durham; ODNI; Treasury; GAO; court and financial records","No recruitment document or command-and-control proof; substantial countervailing policy actions","Exceptional counterintelligence vulnerability","Formal agent status or centralized conspiracy","Russia exploited concealed interests, receptive actors, informal channels, and domestic amplifiers; formal control remains unproved publicly.","What classified financial and intelligence evidence remains unavailable?","Counterintelligence files; bank records; presidential records; foreign intelligence archives"
