Claim_ID,Timeframe,Exact_Claim,Evidence_Classification,Confidence_0_to_100,Supporting_Evidence,New_Expansion,Counterevidence_or_Limit,Additional_Record_Needed
CH1-SYROVATKA-HUSBAND-011,1975,"George or Jiri Syrovatka was publicly described as Ivana's husband.","Contemporaneous archive metadata",90,"Library and Archives Canada item 3232626.","Establishes that the husband description existed contemporaneously.","Does not prove a legal marriage; catalog spelling and provenance require review.","Original Gazette caption/article; Quebec marriage search; personal papers."
CH1-IDENTITY-FLUIDITY-012,1971-1978,"Ivana's surname, marital presentation, residence chronology, and citizenship status were unusually fluid and inconsistently recorded.","Multiple documentary sources; official concern",90,"LAC 1975 record; FBI immigration review; public chronology.","Integrates Canada marital identity with FBI inconsistency concerns.","Ordinary errors, transliteration, and celebrity reporting may explain portions.","Complete immigration, citizenship, university, and marriage records."
CH1-RETURN-ACCESS-013,1970s-1980s,"Ivana repeatedly returned to Czechoslovakia after establishing a life in the West.","Archive reporting; contemporaneous intelligence records described",95,"Radio Prague and Guardian reporting from StB files.","Frames return access as a repeated operational opportunity.","Her foreign citizenship and legal-emigrant status may explain permission to enter.","Passport stamps; border entries; visa and consular files."
CH1-DETECTOR-COMPARISON-014,1970s,"Ivana experienced materially different consequences from prominent Czechoslovak sports defectors.","Comparative historical evidence",85,"Navratilova, Nedomansky, and Fikotova histories; Ivana's continuing visits.","The expanded chapter distinguishes legal emigration from defection while preserving the exception in effect.","Comparators had different fame, legal status, and political circumstances.","Broader matched cohort of legal emigrants, foreign spouses, and athletes."
CH1-STB-OPENING-015,1977,"The StB began focusing on the Trump family after Ivana's marriage to Donald Trump.","Archive-based investigative reporting",95,"Guardian and Radio Prague reporting from Czech Security Services Archive.","Places the marriage as the opening of the documented intelligence channel.","Exact original opening order and file number still needed.","StB registry entries, operative file, Zlin office index."
CH1-MILOS-SOURCE-016,1977-1989,"Milos Zelnicek provided recurring information to the StB about Ivana and Donald Trump.","Archive-based documentary evidence",97,"Guardian/Respekt archive review; former StB testimony.","Shows continuity from family gossip to political collection.","Cooperation appears pressured and information was sometimes benign or open-source.","Complete source file, meeting reports, remuneration and tasking records."
CH1-MILOS-STATUS-017,1977-1989,"Milos was classified as a conspiratorial informer rather than a formal recruited agent.","Archive terminology reported",90,"Guardian description from StB records.","Preserves the precise source category and coercive context.","Translation and file terminology should be verified in original Czech.","Original registration and source-category documents."
CH1-1979-OPATTN-018,1979,"The StB ordered operational attention during Ivana's 1979 visit.","Archive-based documentary evidence",96,"Guardian account of Lt. Josef Knopp memorandum.","Adds date, author, visit details, and operational wording.","Original scan and full translation not yet held in repository.","Knopp memorandum from Security Services Archive."
CH1-1979-ILLEGALS-019,1979,"The 1979 Ivana memorandum was copied to the First Directorate section responsible for illegals.","Archive-based documentary evidence",92,"Guardian review of distribution notation.","Materially bolsters early foreign-intelligence routing years before Moscow trip.","Copying does not mean Ivana was an illegal agent or active operation.","Original distribution sheet and receiving-section file."
CH1-LANGR-CHOD-020,1980s,"An StB collaborator using the code names Langr or Chod met Ivana during return visits.","Archive-based reporting",90,"Radio Prague analysis of StB material.","Expands the source network beyond her father.","Full identity and number of meetings remain incomplete.","Collaborator file, meeting reports, code-name registry."
CH1-STB-1989-OBJECTIVE-021,1989,"The StB sought information through the family channel about U.S. foreign policy, politics, economics, and intelligence agencies.","Archive-based official memorandum",98,"January 23, 1989 Surý memorandum as reported by Guardian/Respekt.","Strongest evidence that the operation escalated beyond emigrant monitoring.","Original document and full Czech text not yet stored.","Surý memorandum, attachments, follow-up tasking and reports."
CH1-KGB-LIAISON-022,1972-1989,"The StB and KGB maintained formal and routine intelligence cooperation during the operation.","Historical and archive evidence",96,"1972 and October 1986 cooperation agreements; KGB liaison presence.","Provides institutional route for sharing without assuming every document transferred.","No public document located proving a specific Trump memorandum was sent to Moscow.","Liaison registers, transmission logs, KGB residentura and StB First Directorate records."
CH1-KGB-TRANSFER-023,1977-1989,"Specific StB reporting about Trump was transmitted to the KGB.","Strong structural inference; document-specific proof missing",70,"Close liaison; Soviet interest; 1987 hosting; StB foreign-intelligence routing.","Reframes claim as high-probability but identifies the missing transmission record.","Former StB official could neither verify nor deny specific sharing.","Transfer sheets, liaison files, Moscow archival records, Mitrokhin/Gordievsky material."
CH1-MOSCOW-BRIDGE-024,1987,"Ivana was the original human bridge linking Donald Trump to the Soviet-bloc environment before and during his first Moscow trip.","Established chronology plus analytical synthesis",96,"Marriage, family channel, StB collection, Ivana's presence on 1987 trip.","Makes Chapter 1 the prehistory of Chapter 2 rather than a separate biography.","Yuri Dubinin provided the immediate Soviet invitation; Ivana was not sole pathway.","Trip correspondence, visas, Intourist itinerary, Ivana papers."
CH1-FBI-PI-025,1989,"The FBI opened or recommended a preliminary counterintelligence inquiry concerning Ivana.","Official FBI record",99,"FBI Vault release; February 14, 1989 memorandum reported in released files.","Adds U.S. counterintelligence confirmation that the anomalies were investigated.","Underlying allegation is heavily redacted and may have been unreliable.","Full declassification and appeal; case classification and serials."
CH1-FBI-MULTINATIONAL-026,1989-1991,"The FBI inquiry tasked legal attaches in Canada and Europe to examine Ivana's emigration and associations.","Official FBI record reported from release",95,"FBI file reporting by Independent, Bloomberg, Stars and Stripes.","Shows inquiry was not limited to gossip or a domestic background check.","Responses and associated names remain redacted or absent.","Legat Ottawa, Montreal, Vienna, Prague and headquarters subfiles."
CH1-FBI-MARRIAGE-027,1990,"The FBI examined a Czech-intelligence-linked man who arranged fictitious marriages and was believed connected to Ivana.","Official investigative lead; not adjudicated",95,"Released FBI record described in multiple reports.","Directly bolsters expansion of the marriage-facilitation question.","No public evidence connects him to Winklmayr or establishes wrongdoing by Ivana.","Identity of subject, interview report, source reporting, referral files."
CH1-FBI-DISPOSITION-028,1989-1991,"The FBI inquiry established that Ivana committed espionage or another offense.","Unsupported",5,"No charge or public finding.","The expanded work preserves the inquiry as evidence of concern, not proof of guilt.","Records are incomplete, redacted, consulted with other agencies, and partly destroyed.","Closing memorandum, prosecutive decision, full release."
CH1-STB-FUNCTIONAL-CHANNEL-029,1977-1989,"Ivana functioned as an intelligence-access channel regardless of whether she knowingly cooperated.","Analytical conclusion strongly supported by documentary pattern",95,"Father reporting, operational attention, collaborator contacts, political collection objectives.","Clarifies that functional intelligence value does not require recruited-agent status.","Knowledge and intent remain unresolved.","Ivana correspondence, StB assessments, interview records."
CH1-ORCHESTRATED-OP-030,1971-1977,"Ivana's emigration and marriage to Donald Trump were deliberately orchestrated as a Soviet-bloc placement operation.","Investigative hypothesis; insufficient public evidence",25,"Pattern parallels; marriage-of-convenience mechanism; later operational exploitation; FBI marriage facilitator lead.","New evidence makes the hypothesis researchable rather than purely theoretical.","No direct tasking, selection, placement, or recruitment document located.","Marriage facilitator identity; StB pre-1977 files; Austrian and Canadian records."
