Claim_ID,Period,Claim,Evidence_Status,Confidence_0_to_100,Primary_Source,Supporting_Evidence,Counterevidence_or_Limit,Open_Question,Additional_Record_Needed,Recommended_Wording
"CH6-2023-INSIDER-012","2021–2024","People with nonpublic DWAC–TMTG merger information illegally traded and made more than $22 million.","Criminal convictions and SEC action","99","DOJ guilty pleas and conviction; SEC release","The Shvartsman brothers pleaded guilty and Garelick was convicted.","Trump and TMTG were not charged in the insider-trading cases.","Did any additional person receive tips or profits?","Trading records; tippee network; phones; cooperation materials.","Insiders monetized confidential merger information; no charge tied Trump to the trading scheme."
"CH6-2021-TMTGLOAN-013","December 2021–February 2022","TMTG received two reported emergency loans totaling $8 million through Paxum/ES Family Trust structures.","Strong documentary reporting","88","Guardian; Washington Post","Reporting cites wires, trust records, internal messages, and sources.","No public criminal charge establishes that the loans were unlawful.","Who was the ultimate lender and beneficial owner?","SWIFT records; trust documents; account statements; promissory notes.","Documentary reporting identifies $8 million in opaque emergency financing that requires original-record confirmation."
"CH6-2022-POSTOLNIKOV-014","2021–2024","Reporting associated ES Family Trust or its account access with Anton Postolnikov.","Documentary allegation","78","Guardian April 2024","Leaked trust and bank records reportedly showed account access and related transfers.","Postolnikov was not charged over the loan; TMTG denied Russian connections.","What legal interest did Postolnikov possess in the trust or notes?","Trust declaration; protector/beneficiary records; account authority; repayment ledger.","Reporting linked Postolnikov to the financing structure; his legal ownership and the funds' provenance remain unresolved."
"CH6-2023-MONEYLAUNDER-015","2022–2024","Federal investigators reportedly examined the TMTG loans for possible money-laundering issues.","Well-supported investigative reporting","82","Guardian; Washington Post","Sources described an expanded SDNY and DHS inquiry.","No public final declination, charge, or laundering finding has been released.","What was the investigative disposition?","Search-warrant affidavits; subpoenas; declination or closing memorandum.","Investigators reportedly examined the financing; no TMTG laundering offense has been publicly established."
"CH6-2022-TMTGKNOWLEDGE-016","2021–2022","Public evidence does not establish that Trump or TMTG knew any alleged Russian-linked background of the emergency funds.","Insufficient public evidence","92","Guardian reporting and TMTG response","Reporting expressly stated there was no indication of such knowledge.","Opacity and internal concern may still create due-diligence questions.","What did directors, lawyers, auditors, and Trump personally receive?","Board materials; counsel emails; KYC; audit workpapers; Trump briefings.","The source-of-funds concern is serious, but Trump knowledge is not publicly established."
"CH6-2024-TMTGOWN-017","March 2024","Trump beneficially controlled approximately 57.3% of TMTG after the merger.","SEC filing","99","TMTG Form 10-K","The ownership table identifies Trump's dominant position.","Share value fluctuated and was subject to restrictions and market risk.","Which entities held derivative, option, or hedging exposure?","Transfer-agent ledger; options; swaps; securities-lending data.","The merger converted Trump's political identity into a dominant public-equity position."
"CH6-2024-TMTGTRUST-018","December 2024","A revocable trust received 114,750,000 TMTG shares, with Donald Trump Jr. as trustee and Trump as sole beneficiary.","SEC filings","99","Form 3; Schedule 13D","The filings identify the transfer and control structure.","The trust did not eliminate Trump's economic benefit.","What powers, amendment rights, and distribution controls did the trust contain?","Trust instrument; governance documents; tax and transfer records.","Legal control shifted to a family trust while Trump retained sole economic benefit."
"CH6-2024-TMTGVALUE-019","2024","TMTG's market value greatly exceeded what its operating revenue alone would ordinarily imply.","SEC financial disclosure plus market inference","95","TMTG 2024 Form 10-K","The company reported about $3.6 million revenue and a very large loss.","Growth expectations, short interest, cash holdings, and political-brand value can explain speculative pricing without manipulation.","Did foreign or coordinated investors materially support the price?","Beneficial ownership; block trades; custodians; options; exchange surveillance.","The valuation depended heavily on political and speculative value rather than current operating revenue."
"CH6-2022-LIV-020","2022–2024","PIF-backed LIV Golf held events at Trump properties.","Established commercial relationship","99","LIV schedules; Senate PSI materials","Events occurred at Doral and Bedminster during Trump's candidacy.","Hosting a sports event is not itself a bribe or political payment.","What did Trump entities earn and what access was provided?","Event contracts; P&Ls; invoices; guest lists; side letters; future commitments.","Saudi-backed LIV became a recurring customer of Trump properties."
"CH6-2022-OMAN-021","2022–2024","A Trump-branded development component was placed inside Oman's state-backed AIDA project.","Official commercial records","98","OMRAN and Dar Global announcements","OMRAN is government owned; Dar Global announced Trump villas, hotel, and golf.","The Trump Organization was not publicly the project's principal borrower.","What license, management, and governmental terms applied?","Executed contracts; approvals; fee schedules; financing; sales distributions.","The Oman project created an indirect state-linked licensing and management channel."
"CH6-2024-JEDDAH-022","2024","Dar Global and the Trump Organization announced a SAR 2 billion Trump Tower in Jeddah.","Official commercial announcement","98","Dar Global press release","The project expanded the foreign licensing pipeline during the campaign.","Announced value is not the same as revenue paid to Trump.","What fees, approvals, and state relationships existed?","License agreement; land records; financing; permit communications.","The Jeddah announcement created prospective foreign business value during the election."
"CH6-2024-DUBAI-023","July 2024","Dar Global announced a Trump tower in Dubai for launch in 2025.","Contemporaneous reporting","95","Reuters","Financial details were not publicly disclosed.","Future project announcements can fail or change.","What consideration was paid before inauguration?","Executed agreement; deposits; reimbursements; approval records.","A new Dubai licensing opportunity was announced during the campaign, with economics undisclosed."
"CH6-2024-VIETNAM-024","2024","The Trump Organization announced a strategic development collaboration in Vietnam.","Official commercial announcement","98","Trump Organization release","The project required local land, approvals, and financing.","An announcement does not establish completed investment or fees.","Did Vietnamese officials expedite approvals or provide special terms?","MOU; land decisions; permits; investment certificates; fee agreements.","The Vietnam project created another government-dependent foreign value channel."
"CH6-2024-AFFINITY-025","2024","Senate Finance reported that 99% of Affinity Partners assets came from foreign sources.","Congressional committee finding","95","Senate Finance June 2024","The disclosed sources were principally Saudi, UAE, and Qatari sovereign capital.","Affinity is legally distinct from Trump and the committee's concerns were not criminal judgments.","What access or political expectations accompanied the investments?","Fund agreements; advisory committee minutes; investor communications; access logs.","Kushner's fund became an overwhelmingly foreign-financed family-network platform."
"CH6-2024-AFFINITYFEES-026","2021–July 2024","Senate Finance reported up to $157 million in foreign-client fees, including $87 million from Saudi Arabia, and no investor return as of July 2024.","Congressional committee finding/allegation","92","Senate Finance September 2024","The committee cited information provided by Affinity.","Fee levels and early lack of return can occur in private equity; no court found a compensation scheme.","How much compensation reached Kushner and Trump-linked people?","Audited financials; distributions; payroll; beneficial ownership; tax records.","The committee identified large foreign fees and no realized return as of July 2024; illegality is unadjudicated."
"CH6-2024-WLFI-027","September–October 2024","World Liberty Financial allocated substantial token and revenue economics to a Trump-linked entity.","Documentary commercial terms","90","World Liberty gold paper; Axios analysis","DT Marks DEFI reportedly received 22.5 billion tokens and 75% of specified net revenues.","Token allocations may be subject to restrictions and the venture's value was uncertain.","What are the executed operating and revenue agreements?","Operating agreement; wallet assignments; revenue waterfall; tax records.","World Liberty created a direct token-purchase channel economically linked to Trump."
"CH6-2024-SUN-028","November 2024","Justin Sun purchased $30 million of WLFI and became an adviser.","Documented transaction","99","Reuters; CoinDesk; public announcements","Sun became the largest publicly identified investor at the time.","A crypto investment can be speculative and does not establish a policy exchange.","Who negotiated the investment and what benefits accompanied it?","Purchase agreement; wallets; communications; adviser agreement; distributions.","Sun made a large purchase while possessing a direct U.S. regulatory interest."
"CH6-2024-SUNSEC-029","2023–2024","Sun faced pending SEC civil allegations when he invested in World Liberty.","Official civil allegation","99","SEC Release 2023-59","The SEC alleged unregistered offerings, wash trading, and unlawful touting.","Sun denied the allegations; a civil complaint is not a conviction.","Did the investment affect regulatory communications or settlement posture?","SEC communications; transition contacts; ethics records; enforcement timeline.","The investment created an apparent conflict channel, not proof of purchased relief."
"CH6-2025-TRUMPCOIN-030","January 17, 2025","The official $TRUMP token launched three days before inauguration.","Official commercial disclosure","99","gettrumpmemes.com","The site described 200 million initial tokens and a one-billion total supply.","The token's market value and purchaser base were volatile and opaque.","Who purchased large positions and where did proceeds flow?","Blockchain analysis; exchange KYC; market-maker agreements; bank records.","The inauguration-adjacent token created a global and partly pseudonymous value channel."
"CH6-2025-TRUMPCOINCONTROL-031","January 2025","Trump-linked entities controlled 80% of the announced $TRUMP supply subject to unlocks.","Official website statement","98","gettrumpmemes.com","CIC Digital and Fight Fight Fight were identified as holders.","Economic realization depended on price, liquidity, and unlock schedules.","Who beneficially owned Fight Fight Fight and each wallet?","Corporate records; cap table; wallet map; unlock contracts.","Trump-linked entities retained dominant token economics, creating conflict and leverage risk."
"CH6-2024-DOPPELGANGER-032","2024","DOJ alleged that the Russian Presidential Administration directed the Doppelganger influence operation.","Official criminal allegation and disruption","99","DOJ September 2024","DOJ seized 32 domains and described cloned sites, personas, ads, and AI content.","The allegation did not charge the Trump campaign with coordination.","Which U.S. audiences, influencers, or campaigns received direct contact?","Domain data; ad accounts; targeting; communications; intelligence assessments.","Russia used cloned American media and synthetic content to influence the election and reduce Ukraine support."
"CH6-2024-RT-033","2024","DOJ charged two RT employees with covertly supplying nearly $10 million to a U.S. media company.","Official criminal allegation","99","DOJ SDNY indictment release","The company published nearly 2,000 videos with more than 16 million views.","American commentators were not charged and were described as unwitting.","Did any campaign or official know of the funding?","Contracts; payment records; chats; editorial instructions; campaign contacts.","RT covertly financed an Americanized content pipeline; campaign knowledge is unestablished."
"CH6-2024-FAKEVIDEO-034","October–November 2024","U.S. agencies attributed several fabricated election videos to Russian influence actors.","Official intelligence/law-enforcement assessment","99","Joint ODNI/FBI/CISA statements","The videos promoted false claims about ballots, voters, and bribery.","Attribution does not show campaign direction or altered votes.","Who amplified each video and with what knowledge?","Platform data; origin accounts; influencer communications; campaign monitoring.","Russian actors used fabricated videos to erode trust and influence voters."
"CH6-2024-RUSPREF-035","2024","A U.S. intelligence official indicated that Russia again preferred Trump because of Ukraine and related policy differences.","Official briefing reported by Reuters","94","Reuters July 9, 2024","The official said no shift from prior election preferences was observed.","Preference does not establish control, coordination, or decisive electoral effect.","What classified assessment supported the preference judgment?","ODNI analytic product; sourcing; confidence statement.","U.S. intelligence assessed continuity in Russia's preference, not a campaign agreement."
"CH6-2024-IRAN-036","2024","Iran targeted the Trump campaign in a hack-and-leak influence operation.","Official government assessment","99","ODNI/FBI/CISA statement","The operation shows multi-directional foreign interference.","Iranian targeting does not negate Russian pro-Trump activity.","How did campaigns respond to foreign offers and stolen material?","Campaign security reports; FBI briefings; communications; publication contacts.","Foreign operations did not uniformly favor Trump; Iran targeted his campaign."
"CH6-2024-SMIRNOV-037","2020–2024","Alexander Smirnov fabricated the Biden–Burisma bribery allegation that entered FBI and congressional channels.","Guilty plea following official indictment","99","Special Counsel Weiss case","The indictment described routine 2017 contacts transformed into false earlier claims.","Not every Biden-related allegation or inquiry came from Smirnov.","Who knew the allegation was unverified and when?","FBI validation files; congressional communications; source-handling records.","A fabricated source allegation acquired political value through institutional laundering."
"CH6-2024-SMIRNOVRUSSIA-038","2023–2024","The indictment said Smirnov promoted a new false narrative after saying he met Russian officials.","Official allegation later within guilty-plea case","95","Special Counsel Weiss indictment","The statement creates a Russian-linked proxy lead.","The public record does not fully establish Russian tasking, payment, or authorship.","Which Russian officials did he meet and what was communicated?","Travel; devices; communications; intelligence reporting; financial records.","Russian-official contacts are relevant, but complete direction of the narrative remains unresolved."
"CH6-2024-ORBAN-039","July 2024","Orbán met Trump at Mar-a-Lago after meetings with Zelenskyy, Putin, and Xi.","Established diplomatic chronology","99","Contemporaneous reporting and Orbán statements","Orbán described a peace mission and Trump's readiness to act.","Orbán lacked an EU mandate and is not publicly established as a Russian agent.","Did he transmit specific Russian terms or messages?","Readouts; letters; attendee notes; communications; policy drafts.","Orbán served as a diplomatic intermediary channel; covert Russian tasking is unproven."
"CH6-2022-RHETORIC-040","2022","Trump called Putin's initial Ukraine moves genius and savvy, then later condemned the war.","Contemporaneous public statement","99","Recorded interview and news reporting","The comments fit a long pattern of praising Putin's tactical strength.","Trump also expressed sympathy for Ukraine and blamed Biden rather than endorsing the invasion.","Were private policy views more specific than public rhetoric?","Adviser notes; calls; draft plans; donor and foreign contacts.","Trump praised Putin's tactics while later condemning the war, producing a mixed but Moscow-useful message."
"CH6-2024-NATO-041","February 2024","Trump said he would encourage Russia to do whatever it wanted to NATO members he viewed as delinquent.","Recorded public statement","99","Associated Press; rally recording","NATO's Secretary-General said the remarks undermined allied security.","Trump framed the statement as pressure for burden sharing, not support for invasion.","Did foreign actors or advisers shape the formulation?","Speech drafts; adviser communications; donor and diplomatic contacts.","The rhetoric created predictable deterrence costs while remaining explainable as transactional burden-sharing politics."
"CH6-2024-NOCOORD-042","2024","Public evidence does not establish Trump-campaign coordination with Doppelganger, RT funding, or the fake-video operations.","Insufficient public evidence","97","DOJ and joint agency statements","The official actions did not allege campaign agreement.","Absence of a public charge is not proof that every contact was investigated or nonexistent.","Were any campaign staff briefed, contacted, or knowingly amplifying?","FBI briefings; campaign devices; platform records; intelligence referrals.","Russia exploited the environment; campaign coordination is not publicly established."
"CH6-2024-MODULAR-043","2021–2024","The post-presidency vulnerability was modular rather than dependent on one master conspiracy.","Analytical synthesis","90","Combined official and transactional record","Lenders, state developers, token buyers, media funders, and proxies could supply distinct forms of value.","Independent lawful transactions may resemble a network without shared direction.","Which nodes shared intermediaries, accounts, lawyers, or expected benefits?","Cross-entity graph; communications; transaction ledger; beneficial owners.","The evidence supports interoperable value channels more strongly than a single proven command structure."
"CH6-2025-PLATFORM-044","January 2025","Trump entered office with more monetizable foreign-access interfaces than in 2016.","Analytical conclusion","92","SEC filings; foreign project records; crypto terms; influence cases","Public equity, foreign licenses, sovereign-backed events, family funds, and tokens expanded available channels.","Some interfaces were transparent, lawful, and commercially ordinary.","Which channels produced actual value or policy expectations after inauguration?","Executed contracts; payments; wallets; access logs; official decisions.","Trump returned to office at the center of a broader, more liquid, and more globally accessible value network."
