Claim_ID,Section,Exact_Claim,Relevant_Date,Source_Class,Evidence_Status,Confidence_0_to_100,Supporting_Evidence,Counterevidence_or_Alternative,Recommended_Wording,Missing_Record,FOIA_or_Record_Target
CH7-ENF-KLEP-003,"Enforcement rollback","The KleptoCapture decision objectively benefited sanctioned Russian asset holders and facilitators as a class","2025 onward","Policy effect analysis","Strong analytical inference",87,"Loss of dedicated team and Russia-specific capacity; TASS/RT welcomed change","General asset and sanctions enforcement remained; cartel priority may be rational","The change reduced specialized pressure on Russian oligarch and facilitator networks","Case-level outcome comparison","DOJ, Treasury, courts"
CH7-ENF-FITF-001,"Enforcement rollback","DOJ disbanded the Foreign Influence Task Force","2025-02-05","Attorney General primary record","Established by primary record",100,"Charging memorandum page 4","FBI and NSD retained traditional counterintelligence authorities","The task force integrating foreign-malign-influence resources was disbanded","Personnel and matter inventory","DOJ NSD, FBI"
CH7-ENF-FARA-001,"Enforcement rollback","DOJ limited criminal FARA and Section 951 charges to traditional-espionage-like conduct","2025-02-05","Attorney General primary record","Established by primary record",100,"Charging memorandum page 4","Civil FARA enforcement and serious espionage prosecutions remained","The policy narrowed criminal exposure for concealed foreign political activity outside classic espionage","Charging guidance and affected cases","DOJ NSD/FARA Unit"
CH7-ENF-STATE-001,"Enforcement rollback","State closed the office countering foreign information manipulation","2025-04-16","State announcement and AP/Politico","Established",98,"Rubio announcement and reporting","Administration alleged censorship and waste","The administration ended a principal State Department counter-disinformation office","Staff, contracts, and transferred missions","State Department"
CH7-ENF-CISA-001,"Enforcement rollback","CISA ended funding for election-security information-sharing organizations","2025","CISA/AP reporting","Established",95,"Termination reporting and agency rationale","Administration cited redundancy and mission focus","Election-security coordination capacity was reduced or altered","Contract termination and replacement capability","CISA, DHS"
CH7-ENF-ODNI-001,"Enforcement rollback","ODNI reduced staffing by over 40% and refocused foreign-malign-influence functions","2025-08","ODNI primary record","Established as announced",98,"ODNI 2.0 release","Reorganization may improve efficiency and some functions continued","ODNI materially reduced and reorganized the intelligence coordination platform","Org charts, staffing, products, performance","ODNI"
CH7-UAE-WLF-001,"UAE payoff chain","A Tahnoon-backed vehicle reportedly agreed to buy 49% of World Liberty for $500 million","2025-01-16","WSJ/Washington Post/Reuters documentary reporting","Strongly documented report; contract not public",91,"Multiple reputable reports and later Senate CFIUS request","World Liberty disputes improper implication; Trump/Witkoff said not involved in management","Reporting describes a major UAE official-linked investment immediately before inauguration","Executed agreement, wires, ownership, governance","Treasury CFIUS, WLF, banks, congressional subpoena"
CH7-UAE-WLF-002,"UAE payoff chain","The reported agreement included $250 million upfront and substantial Trump-family proceeds","2025-01","Documentary reporting","Credibly reported",86,"WSJ-derived reporting summarized by WaPo and others","Exact distributions and recipients not independently public","The reported transaction created direct private value to Trump-linked interests","Distribution ledger, tax records, wire records","Treasury, banks, WLF, IRS subject to law"
CH7-UAE-ACC-001,"UAE payoff chain","Sheikh Tahnoon met Trump at the White House after the reported investment","2025-03-18","White House primary record","Established by primary record",100,"Official White House gallery","Meeting had legitimate bilateral purpose","The reported investor-linked UAE official obtained direct presidential access","Agenda, attendees, notes, ethics review","White House PRA, NSC, State"
CH7-UAE-AI-001,"UAE payoff chain","The administration reached a UAE AI framework and later authorized G42 advanced-chip access","2025","White House and Commerce primary records","Established by primary record",100,"White House framework and Commerce authorization","Authorization included security conditions and served China-competition strategy","G42 received major technology access after the reported WLF investment and presidential meeting","Export-license and advocacy files","Commerce BIS, NSC, State, DOD"
CH7-UAE-AI-002,"UAE payoff chain","The UAE-WLF investment purchased chip access","2025","Circumstantial inference","Not established",45,"Timing, common actor, private benefit, access, and later approval","Strong national-interest rationale; direct communication absent; explicit denials","The sequence creates a strong circumstantial conflict requiring records but is not a proven exchange","Deal-policy communications","CFIUS, BIS, NSC, White House PRA"
CH7-UAE-USD1-001,"UAE/Binance chain","MGX used USD1 to settle a $2 billion Binance investment","2025","Commercial and congressional documentation","Established",98,"Public transaction and Senate correspondence","Stablecoin choice may have been commercial","The transaction delivered major adoption and reserve value to the Trump-linked stablecoin","Contract, fees, reserves, selection process","MGX, Binance, WLF, banks, congressional subpoena"
CH7-BIN-SEC-001,"UAE/Binance chain","The SEC dismissed its Binance civil case with prejudice","2025-05-29","SEC primary record","Established by primary record",100,"SEC dismissal","Broader pro-crypto policy could explain action","The dismissal followed the USD1-enabled MGX transaction; direct connection is not established","Decisional memorandum and contacts","SEC, White House, DOJ"
CH7-BIN-CZ-001,"UAE/Binance chain","Trump pardoned Changpeng Zhao","2025-10","Presidential clemency record","Established by primary record",100,"Pardon record","Clemency may reflect sentence served and crypto policy","The pardon is an official benefit to Binance's founder following the USD1/MGX relationship","Petition, sponsor, DOJ and White House recommendations","Pardon Attorney, White House PRA, DOJ"
CH7-BIN-CZ-002,"UAE/Binance chain","The USD1 transaction purchased the SEC dismissal or CZ pardon","2025","Circumstantial inference","Not established",40,"Dense timing and shared commercial network","No direct communication; general crypto policy and clemency explanations","The overlap warrants subpoena and tracing but cannot be stated as a proven quid pro quo","Communications and decision files","SEC, DOJ, White House, WLF, MGX, Binance"
CH7-SUN-WLF-001,"Justin Sun","Sun purchased at least $75 million of World Liberty tokens and became an adviser","2024-25","Commercial records and documentary reporting","Established",96,"Public purchases and project statements","Crypto investment can be speculative and lawful","Sun became a major economic participant in a Trump-linked venture while under SEC litigation","Agreements, wallets, adviser terms","WLF, exchanges, SEC"
CH7-SUN-SEC-001,"Justin Sun","The SEC paused the Sun case in February 2025","2025-02","SEC/court record","Established",100,"Joint stay/pause record","General policy shift and settlement negotiations may explain pause","The regulated investor received a favorable procedural development after major WLF purchases","SEC decisional and contact records","SEC, White House"
CH7-SUN-DIN-001,"Justin Sun","Sun was the top `$TRUMP` dinner holder and obtained presidential access","2025-05-22","Reuters, blockchain analysis, public posts","Established",97,"Reuters reported $18.5M wallet and attendance","Access was part of publicly advertised contest","Token purchases directly purchased event access","Guest, meeting, wallet-funding records","Secret Service, White House, Trump Organization, exchanges"
CH7-SUN-SET-001,"Justin Sun","The SEC proposed a Rainberry settlement and dismissal of other claims in 2026","2026-03","SEC primary record","Established as proposal",98,"SEC litigation release","Court approval and final terms may remain pending; policy applies broadly","The regulatory sequence became more favorable during Sun's Trump-linked investment relationship","Settlement negotiations and contacts","SEC"
CH7-SUN-QPQ-001,"Justin Sun","Sun purchased regulatory relief through Trump-linked investments","2024-26","Circumstantial inference","Not established",44,"Purchases, access, timing, SEC pause and settlement","No direct exchange; tokens later frozen in dispute; broad crypto-policy shift","The sequence creates a serious conflict and strong records question, not a proven bargain","Communications, meeting notes, SEC records","SEC, White House, WLF, exchanges"
CH7-TRUMP-DIN-001,"Crypto access","The meme-coin contest converted purchases into access to the sitting president","2025-05-22","Commercial rules, Reuters, blockchain data","Established",100,"Contest ranking and dinner/VIP structure","Could be characterized as commercial promotion","The purchase-for-access mechanism was direct and public","Complete holder identities and benefit records","Secret Service, Trump Organization, exchanges"
CH7-TRUMP-DIN-002,"Crypto access","More than half of dinner attendees were likely outside the United States","2025-05","Blockchain analysis reported by Reuters","Credibly reported estimate",88,"Inca Digital/Reuters analysis","Wallet geography is imperfect and beneficial owners may differ","Blockchain analysis indicated majority-foreign participation","Exchange KYC and travel records","Exchanges, CBP subject to law, Secret Service"
CH7-QAT-PROJ-001,"Qatar","Trump Organization announced project involving state-owned Qatari Diar","2025-04-30","Trump Organization commercial release","Established",100,"Official project announcement","Project may be ordinary licensing business","The president's family business entered a project with a foreign state-owned developer","Executed contracts, fees, approvals","Qatari Diar, Trump Organization, ethics records"
CH7-QAT-JET-001,"Qatar","The United States accepted a Qatari Boeing 747-8 for government use and eventual library transfer","2025-05","Pentagon/administration and documentary records","Established",99,"Government statements and reporting","Administration says lawful and necessary; Qatar denied bribery","The aircraft created a major state-to-president-related benefit requiring full terms","Transfer instrument, valuation, retrofit, library terms","DOD, Air Force, White House, GSA"
CH7-QAT-QPQ-001,"Qatar","The private project and aircraft/state agreements were reciprocal","2025","Circumstantial inference","Not established",38,"Compact timing and common state actor","Longstanding alliance and separate commercial logic","The overlap warrants communication and contract review but is not proof","Cross-channel communications","White House, State, DOD, project parties"
CH7-SAU-STATE-001,"Saudi Arabia","The White House announced a $600 billion Saudi commitment and nearly $142 billion intended defense sales","2025-05-13","White House primary record","Established as announced",100,"White House fact sheet","Commitments are not identical to completed investment or delivered sales","The administration announced extraordinary Saudi state agreements","Implementation and final contract data","State, DOD, Commerce, Treasury"
CH7-SAU-STATE-002,"Saudi Arabia","Saudi commitments later expanded toward $1 trillion","2025-11-18","White House primary record","Established as announced",99,"White House fact sheet","Long-term commitments may not fully materialize","The bilateral economic platform expanded materially during the term","Project-by-project implementation","Commerce, Treasury, State"
CH7-SAU-PRIV-001,"Saudi Arabia","Trump-family and Kushner entities had preexisting Saudi-linked private value channels","2021-25","Commercial, congressional, and documentary records","Established",97,"LIV events, Affinity investment, Trump-branded projects","Entities are legally separate and can conduct lawful business","Saudi-linked private value channels overlapped with official state negotiations","Contracts, fees, investor records","Congressional subpoena, commercial parties, ethics records"
CH7-SAU-QPQ-001,"Saudi Arabia","Private Saudi value purchased defense, AI, or other state policy","2025","Circumstantial inference","Not established",32,"Scale, timing, access, overlapping sovereign network","Longstanding strategic partnership and major U.S. commercial interests","The overlap creates conflict and tracing questions, not proof of exchange","Communications, side letters, access and decision files","White House, State, DOD, Commerce, private parties"
CH7-VNM-PROJ-001,"Vietnam","Vietnam approved a $1.5 billion Trump project during tariff negotiations","2025-05-16","Vietnamese approval reporting and Reuters/AP","Established",98,"Government approval document reported by Reuters/AP","Project was announced before inauguration","Vietnam approved the private project during active U.S. tariff talks","Approval and advocacy communications","Vietnamese government, USTR, White House"
CH7-VNM-TRADE-001,"Vietnam","The later trade framework maintained a 20% reciprocal tariff and broad U.S. access","2025-10-26","White House primary record","Established by primary record",100,"Joint framework","Agreement included substantial reciprocal concessions and broad U.S. interests","The trade result followed the project approval but does not prove linkage","Negotiation record and private-project references","USTR, Commerce, State, White House PRA"
CH7-VNM-QPQ-001,"Vietnam","The project approval influenced U.S. tariff treatment","2025","Circumstantial inference","Not established",36,"Timing, prime minister participation, same government","Project predated term; trade terms had conventional bilateral rationale","The sequence is precisely testable but not presently a proven exchange","Cross-channel communications","USTR, White House, Vietnamese government, project parties"
CH7-RUS-MEDIA-001,"Russian reception","RIA and other Russian outlets framed the aid/intelligence pause as damaging Ukraine","2025-03","Russian state media","Narrative evidence",94,"RIA coverage and cited operational reports","State-media propaganda incentives","Russian state media publicly recognized the battlefield benefit","Internal editorial and government guidance","Russian archives; U.S. damage assessment"
CH7-RUS-TG-001,"Russian reception","Rybar treated the February 28 confrontation as humiliation of Zelenskyy","2025-02-28","Telegram lead/reception evidence","Authenticated channel statement",86,"Public channel post","Nationalist channel is not official and used theatrical language","A major pro-war channel celebrated the confrontation as a Russian-favorable event","Channel editorial contacts and amplification data","Open-source archive"
CH7-RUS-TG-002,"Russian reception","Colonelcassad described Trump and Putin as negotiating Ukraine without Ukraine","2025-03-18","Telegram reception evidence","Authenticated channel statement",87,"Public channel post","Commentator inference, not inside knowledge","The channel interpreted the process as marginalizing Kyiv and Europe","Source network and government contacts","Open-source archive"
CH7-RUS-TG-003,"Russian reception","Later pro-war commentary became skeptical of Trump and criticized continuing U.S. support","2025-26","Telegram reception evidence","Authenticated channel pattern",84,"Rybar and related posts","Channels vary and may shift tactically","Russian nationalist reaction is counterevidence to uniform-control claims","Systematic channel corpus","Open-source research"
CH7-RUS-IRN-001,"Russia-Iran targeting","U.S. intelligence reporting indicated Russia supplied Iran targeting information concerning American warships and aircraft","2026-03","Multiple-official intelligence reporting","Strongly documented intelligence report; final assessment not public",92,"Three officials familiar with U.S. intelligence; later Reuters satellite chronology","Russia denied assistance; assessment remains classified","Russia was credibly reported to have supplied operational targeting information concerning U.S. military assets","Declassified IC assessment, source reporting, dissemination logs","CIA, ODNI, NSA, DIA, NGA, CENTCOM, NSC"
CH7-RUS-IRN-002,"Russia-Iran targeting","Russian satellites reportedly surveyed 46 military and critical-infrastructure objects and Iranian strikes followed collection in multiple cases","2026-03-21/31","Reuters-reviewed Ukrainian intelligence plus corroborating sources","Strong documentary intelligence reporting",88,"24 surveys, 46 objects, 11 countries; two other sources said imagery was shared","Core chronology originated with Ukrainian intelligence; Russia denied it","A detailed collection-to-strike chronology supports Russian operational assistance while exact causation remains unresolved","Satellite tasking, imagery metadata, Iranian receipt and strike packages","NGA, Space Force, CIA, NSA, CENTCOM, foreign partners"
CH7-RUS-IRN-003,"American casualties","An Iranian unmanned aircraft attack at Port Shuaiba killed six Army Reserve soldiers and wounded additional U.S. personnel","2026-03-01","U.S. military primary records","Established by primary record",100,"Army Reserve casualty confirmation and CENTCOM updates","Public records do not identify the foreign intelligence used for the target","Iranian attacks killed and wounded Americans during the same campaign in which foreign targeting support was supplied","Attack investigation, warning, target-selection and casualty files","CENTCOM, Army, DOD"
CH7-CHN-IRN-001,"China-Iran targeting","The United States sanctioned China-based geospatial firms after finding their imagery enabled Iranian strikes against U.S. forces","2026-05-08","Official U.S. sanctions attribution","Established as official government finding",98,"MizarVision, The Earth Eye, Chang Guang and MINDEX named","Does not establish Chinese central-government direction of every transfer","U.S. authorities publicly attributed and sanctioned company-level enabling support","Designation evidentiary memoranda, contracts, imagery logs","State, Treasury, intelligence agencies, commercial records"
CH7-RUS-IRN-004,"Presidential response","Trump minimized reported Russian targeting assistance after attending the dignified transfer for soldiers killed in Kuwait","2026-03-07","Recorded public statement and AP reporting","Established public response",99,"Trump said any Russian information had not helped Iran much and resisted broader rupture","He may have had classified information different from public reporting and may have sought to avoid escalation","Trump publicly minimized rather than warned or punished Russia while the intelligence allegation was active","PDB, briefing record, talking points, options memoranda","White House PRA, NSC, CIA, State"
CH7-RUS-IRN-005,"Russian denial","Witkoff said Putin and Ushakov denied sharing targeting information and that the United States could take them at their word subject to intelligence review","2026-03-10","Reuters attributed interview and readout","Established attributed statement",97,"Putin denial in Trump call and Ushakov denial to Witkoff/Kushner","Witkoff also said intelligence agencies should determine truth","The administration publicly elevated Moscow's denial while intelligence review remained unresolved","Call memorandum, meeting notes, briefing record","White House PRA, NSC, State, CIA"
CH7-RUS-OIL-003,"Russian oil relief","OFAC issued GL 133 and the 134 series authorizing specified delivery and sale of Russian-origin oil during the targeting-assistance controversy","2026-03/06","OFAC primary records","Established by primary record",100,"GL 133, 134, 134A, 134B and 134C","Licenses served energy-market and supply-stability interests and did not repeal sanctions","Successive licenses preserved qualifying Russian oil transaction pathways while Moscow faced targeting allegations","Decision memos, knowledge timeline, cargo and revenue data","Treasury, OFAC, NSC, White House, Energy"
CH7-RUS-IRN-006,"Comparative consequence","The U.S. publicly sanctioned named China-based targeting providers but no equivalent public Russia-specific sanction tied to Moscow's reported targeting support has been identified","2026-05/08","Comparative official record analysis","Strong analytical finding subject to undisclosed actions",88,"Public State action against China-based firms; no located public Russia action tied to the allegation","Classified, diplomatic or nonpublic consequences may exist; evidence standards may differ","The visible consequence architecture treated China-based and Russian support differently","Russia options memo, demarches, covert and sanctions decisions","State, Treasury, NSC, CIA, White House PRA"
CH7-RUS-IRN-007,"August continuation","Trump said Russia had behaved quite well regarding the Strait of Hormuz when asked about punishing countries doing business with Iran","2026-08-27","Reuters report of Oval Office remarks","Established attributed statement",98,"Direct public remarks","May have referred narrowly to maritime conduct rather than targeting assistance","The prior targeting controversy did not produce a durable public presumption of Russian hostility","Full transcript, briefing context, Russia-Iran policy memo","White House, NSC, State"
CH7-RUS-IRN-008,"Intelligence leverage allegation","Zelensky alleged Russia offered to end Iran intelligence support if the United States stopped sharing intelligence with Ukraine","2026-03-25","Attributed presidential allegation","Unverified lead",55,"Zelensky described irrefutable intelligence","No underlying evidence was released; Russia denied broader assistance","Retain as a high-priority blackmail lead, not an established finding","Intercept, source report, Russian proposal or communications","Ukraine intelligence, CIA, NSA, NSC"
CH7-CONCL-001,"Conclusion","The public record establishes susceptibility and exploitation more strongly than formal foreign control","2025-26","Synthesis","Strongly supported analytical conclusion",90,"Multiple independent value, access, policy, and enforcement chains plus counterevidence","No direct master agreement; mixed Russia policy; legitimate state interests","The record supports a strong circumstantial case for conflicts, exploitation, and possible reciprocity, while formal control remains unproven","Transaction-level records across chains","Multi-agency, congressional, judicial, commercial, and foreign archives"

CH7-G20-001,"Financial normalization","The U.S.-hosted G20 meeting restored Russian Finance Minister Anton Siluanov to in-person participation and a bilateral with the Treasury secretary","2026-08-31","Reuters and official/attributed records","Established",99,"First in-person finance appearance since 2022; Bessent bilateral; U.S. host setting","Russia remained a G20 member and dialogue can serve legitimate purposes","The administration voluntarily delivered senior financial access and status","Sanctions relief or a secret bargain","The U.S. restored Siluanov to a prominent in-person financial forum and granted a Treasury bilateral.","Who approved the invitation and what was sought in return?","White House and Treasury invitation, agenda, instructions and allied consultation records"
CH7-G20-002,"Allied fracture","European officials objected to treating Russia as normal and refused the customary family photograph","2026-08-31","Reuters documentary reporting","Established",98,"German and other European objections; photo protest","Allies still participated and some supported dialogue","The invitation imposed a visible allied-cohesion cost","Permanent alliance break","European officials treated the invitation as a troubling normalization signal.","What consultations occurred before the invitation?","Treasury, State, NSC and allied communications"
CH7-G20-003,"Presidential rationale","Trump defended the invitation by saying he liked getting along with everybody","2026-08-31","Recorded public statement and documentary reporting","Established public statement",100,"Direct quotation carried by multiple outlets and Russian state media","Statement may be shorthand rather than complete policy rationale","The president publicly framed the decision through personal congeniality rather than a named Russian concession","Private motive or secret terms","Trump publicly justified the invitation through a desire to get along with everybody.","What briefing and options preceded the statement?","White House talking points, decision memo and meeting preparation"
CH7-G20-004,"Counterevidence","Bessent reportedly told Siluanov no economic relief or other agreements were possible until Russia ended the war","2026-08-31","Reuters attributed source reporting","Credibly reported counterevidence",93,"Source said Bessent interrupted discussion of mutual interests to impose the condition","No public transcript; other topics may have been discussed","The bilateral did not publicly grant immediate economic relief","Elimination of status and normalization value","Bessent reportedly conditioned economic relief on an end to the war, limiting an unconditional-accommodation inference.","Was the condition formal and what response did Siluanov give?","Bilateral transcript, readout, follow-up and sanctions records"
CH7-G20-005,"Cumulative classification","The Asheville event delivered immediate Russian status, access, legitimacy and propaganda value before any publicly announced Russian concession","2026-08-31","Primary/documentary chronology plus analysis","Strong analytical inference",91,"First post-invasion in-person return; bilateral; allied protest; Trump rationale; Russian financial-cooperation framing","Bessent imposed a reported condition; Russia remained a member; dialogue can be useful","Front-loaded normalization and allied-fracture value","A proven quid pro quo or immediate sanctions relief","Asheville was a verified discretionary normalization event whose immediate Russian benefit preceded any publicly announced concession.","What concession, if any, was privately obtained or later performed?","Invitation rationale, complete bilateral record, Russian response and implementation files"
