Event_ID,Date_or_Range,Category,Original_Ledger_Item,Reconciliation_Status,Corrected_Finding,Russia_Benefit_0_to_5,Ukraine_Allied_Cost_0_to_5,Russian_Reception,Primary_or_Best_Source,Missing_Record
J20-011,2025-02-24,United Nations,"Vote against resolution condemning invasion","Verified and promoted","The U.S. opposed the territorial-integrity-centered General Assembly text and secured a shorter Security Council resolution welcomed by Russia.",5,3,"Russia’s U.N. representative publicly welcomed the changed U.S. posture.",https://press.un.org/en/2025/sc16005.doc.htm,U.S. decision memorandum and instructions
J20-012,2025-02-28,Diplomacy/Ukraine,"Public humiliation of Zelenskyy","Event verified; evaluative label qualified","The confrontation, canceled signing and delegation departure were established and immediately preceded coercive support pauses.",5,4,"Zakharova, Medvedev, Dmitriev, Readovka and SHOT openly celebrated the confrontation.",https://www.whitehouse.gov/videos/president-trump-and-ukrainian-president-zelenskyy-in-oval-office-feb-28-2025/,Private meeting notes and postmeeting directives
J20-013,2025-03-03/11,Military aid,"Military aid suspension","Verified and promoted","Military assistance was paused and restored after Ukraine accepted the U.S. ceasefire proposal.",5,5,"Medvedev and Russian media treated the pause as disciplining Kyiv and weakening its position.",https://www.reuters.com/world/us-ukraine-meet-saudi-arabia-after-disastrous-white-house-talks-2025-03-11/,Signed directive, inventory and battlefield assessment
J20-014,2025-03-05/11,Intelligence,"Intelligence sharing cutoff","Verified and promoted","Intelligence support used for warning and targeting was temporarily suspended and later restored.",5,5,"RIA, TASS and RT emphasized the loss of Ukrainian long-range targeting capability.",https://www.washingtonpost.com/national-security/2025/03/05/us-ukraine-intelligence-sharing/,Product list, exact scope and damage assessment
J20-015,2025-03-07/12,Satellite imagery,"Satellite imagery access terminated","Verified temporary and limited","U.S.-purchased Maxar/GEGD access was disabled and restored after Jeddah; not all commercial imagery worldwide ended.",5,4,"RT and TASS portrayed the cutoff as a major battlefield advantage.",https://www.reuters.com/world/us-aerospace-firm-maxar-disables-satellite-photos-ukraine-2025-03-07/,NGA directive, affected accounts and operational assessment
J20-016,2025-03,Second-order battlefield effect,"Russian attacks intensified during cutoff","Verified sequence; causation unproven","Russia attacked Ukrainian energy and other targets while U.S. support was restricted; public evidence does not prove target selection depended on advance knowledge.",4,4,"Russian media linked the period to Ukrainian battlefield vulnerability.",https://apnews.com/article/942d5fa7c9bdd42e6361e5fa7ddb3ae3,Russian targeting intelligence and U.S./Ukraine assessment
J20-017,2025-03,March/July,Cyber and sabotage,"Halt offensive cyber operations against Russia","Verified in limited form; duration disputed","Certain offensive cyber and coordinated anti-sabotage efforts were paused during negotiations. Pentagon public accounts were inconsistent; not a permanent full stand-down.",4,3,"Peskov called curtailment understandable; Patrushev remained skeptical U.S. activity would actually stop.",https://www.reuters.com/world/us-suspends-some-efforts-counter-russian-sabotage-trump-moves-closer-putin-2025-03-19/,Directives, duration, target list and after-action review
J20-018,2025-03-06,NATO,"Question NATO commitment and demand 5 percent","Mixed; split into uncertainty and later strengthening","Conditional-defense rhetoric created short-term alliance uncertainty; the 5 percent benchmark was later adopted and may strengthen deterrence.",2,2,"Kremlin messaging welcomed Western division; later Russian commentary criticized higher NATO spending.",https://www.nato.int/cps/en/natohq/official_texts_236705.htm,Private force-posture and Article 5 deliberations
J20-019,2025-03-11/24,Operational security,"Signal chat exposed war plans","Verified; not Russia-specific","Use of Signal and accidental inclusion of a journalist created security and records risks. No public evidence Russia accessed this chat.",1,1,"Russian media amplified the embarrassment; Russian operators were separately known to target Signal linked devices.",https://www.theatlantic.com/politics/archive/2025/03/trump-administration-accidentally-texted-me-its-war-plans/682151/,Device forensics, retention records and damage assessment
J20-020,2025-03-18,Ceasefire,"Limited energy ceasefire","Verified and promoted with qualification","Putin accepted a 30-day energy-target pause rather than the full ceasefire accepted by Ukraine; ground war continued.",4,3,"Kirill Dmitriev called the call perfect; Russian statements emphasized great-power dialogue and foreign-aid conditions.",https://www.reuters.com/world/putin-agrees-trump-proposal-stop-hitting-ukrainian-energy-targets-30-days-2025-03-18/,Violation log, target definitions and reciprocal conditions
J20-021,2025-03-21,Envoy rhetoric,"Witkoff calls Putin super smart and not a bad guy","Verified and promoted","Witkoff’s trust framing and repetition of Putin’s personal story showed susceptibility to personalized diplomacy.",3,1,"TASS, Russian television and pro-Kremlin commentary amplified the remarks.",https://fortune.com/2025/03/22/trumps-special-envoy-steve-witkoff-russias-ukraine-war-putin-not-bad-guy/,Full interview, envoy briefing and ethics/recusal files
J20-022,2025-03-25,Economic relief,"Offer sanctions and market relief for Black Sea cooperation","Verified and promoted","The U.S.-Russia statement promised help with agricultural/fertilizer markets, insurance, ports and payments; implementation and reciprocity remain unresolved.",5,2,"Russian officials added banking/SWIFT conditions and treated U.S. assistance as a prerequisite.",https://www.whitehouse.gov/briefings-statements/2025/03/outcomes-of-the-united-states-and-russia-expert-groups-on-the-black-sea/,OFAC licenses, banking channels, reciprocal-performance records
J20-023,2025-04,Crimea/territory,"Recognition of Crimea annexation proposal","Verified reported proposal; not adopted recognition","A U.S. draft reportedly contemplated de jure U.S. recognition of Crimea and de facto control elsewhere; no completed legal recognition occurred.",5,4,"Russian outlets presented the proposal as movement toward Moscow’s legal and territorial position.",https://www.reuters.com/world/trump-is-considering-recognising-ukraines-crimea-part-russia-semafor-reports-2025-03-18/,Every draft, legal memorandum and Russian transmission
J20-024,2025-04-23,Ukraine pressure,"Trump calls Zelenskyy inflammatory","Verified and promoted","Trump attacked Zelenskyy’s refusal to recognize Crimea while describing the issue as outside meaningful negotiation.",4,3,"TASS amplified the statement as evidence Washington accepted the territorial reality.",https://www.reuters.com/world/trump-says-zelenskiy-comments-harming-peace-talks-with-russia-2025-04-23/,Peace-plan drafts and communications preceding statement
J20-025,2025-04-07,Sanctions license,"GL 13M administrative transactions","Verified; technical authorization","Authorized taxes, fees, permits, certificates and utilities; not equivalent to removing major sanctions.",1,0,"Limited Russian attention; primarily technical.",https://ofac.treasury.gov/media/933896/download?inline,Decision memo and predecessor comparison
J20-026,2025-05-15,Sanctions license,"GL 124 Caspian Pipeline petroleum services","Verified; narrow multi-country energy authorization","Supported CPC/Tengiz operations important to Kazakhstan and Western stakeholders as well as Russian transit.",2,0,"Russian energy media treated it as continuity for a key export route.",https://ofac.treasury.gov/media/934106/download?inline,Beneficiary and payment-flow analysis
J20-027,2025-06-18,Sanctions license,"GL 55D Sakhalin-2 extension","Verified; continuation serving Japanese energy security","Maintained specified Sakhalin-2 transactions; preexisting carveout with Japanese interests.",2,0,"TASS highlighted continuation of U.S. authorization.",https://ofac.treasury.gov/media/934261/download?inline,Japanese request and U.S. decision record
J20-028,2025-06-27,Sanctions license,"GL 115B civil nuclear","Verified; civil-nuclear carveout","Authorized specified civil-nuclear transactions, including Hungary’s Paks II context; not broad Russia sanctions relief.",2,0,"Russian/Hungarian reporting welcomed continuity.",https://ofac.treasury.gov/media/934371/download?inline,Project beneficiaries and advocacy contacts
J20-029,2025-07-08,Sanctions license,"GL 13N administrative transactions","Verified; technical authorization","Successor administrative license; low strategic weight.",1,0,"Limited reception.",https://ofac.treasury.gov/media/934426/download?inline,Predecessor and transaction data
J20-030,2025-07-01,Cyber sanctions,"AEZA Group designation","Verified counterevidence","Treasury sanctioned Russia-linked cybercrime infrastructure.",0,0,"Russian outlets reported the measure as continued hostility.",https://home.treasury.gov/news/press-releases/sb0182,Enforcement impact and seizures
J20-031,2025-07-01/08,Weapons pause,"Second weapons pause","Verified; stockpile/internal decision; reversed","Some munitions were paused, Russia welcomed the reduction, and Trump then ordered additional defensive weapons.",4,4,"Peskov said fewer weapons brought the end of war closer.",https://www.reuters.com/business/aerospace-defense/us-pauses-some-weapons-shipments-ukraine-amid-stockpile-concerns-2025-07-02/,Who ordered pause, inventory and operational effects
J20-032,2025-07-14 onward,PURL,"NATO weapons corridor","Verified counterevidence","Allies financed U.S.-made weapons for Ukraine, preserving deliveries while shifting cost away from Washington.",0,0,"Russian nationalist channels criticized continued U.S. weapons flow.",https://www.nato.int/cps/en/natohq/topics_223557.htm,Package, delivery and battlefield-effect data
J20-033,2025-03/07,Threats,"Sweeping banking sanctions threat","Verified threat; not promptly implemented","Trump publicly considered sweeping sanctions while Russia attacked Ukraine; comparable action did not immediately follow.",1,1,"Russian commentary treated the threats as negotiating theater.",https://www.reuters.com/world/trump-says-he-is-considering-putting-banking-sanctions-tariffs-russia-2025-03-07/,Internal decision papers and reasons for nonimplementation
J20-034,2025-03-30,Threats,"25-50 percent tariff threat","Verified threat; not implemented as stated","Trump threatened secondary oil tariffs; later policy was narrower and targeted India.",1,1,"Russian officials discounted repeated deadlines.",https://www.nbcnews.com/politics/donald-trump/trump-putin-oil-tariffs-russia-ukraine-rcna198764,Implementation decision and allied consultations
J20-035,2025-07-14/28,Threats,"100 percent tariff and shifting deadlines","Verified; partially implemented later through India tariff","The 50-day deadline was shortened; the sweeping global regime did not take effect as announced.",1,1,"Russian commentary increasingly treated deadlines as reversible.",https://www.cnbc.com/2025/07/14/trump-trade-russia-ukraine.html,Deadline tracking and internal enforcement plans
J20-036,2025-07-30,Nuclear rhetoric,"Two nuclear submarines ordered to appropriate regions","Statement verified; deployment unconfirmed","Presidential escalation rhetoric followed Medvedev’s statements; no public Pentagon confirmation of movements.",0,0,"Russian media treated the episode as theatrical escalation.",https://www.aljazeera.com/news/2025/8/2/trump-says-he-ordered-nuclear-submarines-moved-after-medvedev-comments,Operational confirmation and command orders
J20-037,2025-08-06,India tariff,"25 percent tariff for Russian oil purchases","Verified countervailing pressure with sequencing issue","A real secondary-pressure measure was signed but became effective after the Alaska summit.",0,0,"Russian and Indian commentary treated the timing as leaving room for negotiation.",https://www.whitehouse.gov/presidential-actions/2025/08/addressing-threats-to-the-united-states-by-the-government-of-the-russian-federation/,Trade impact, shipping data and negotiation records
J20-038,2025-08-08,Territory,"Trump endorses territorial swapping as negotiating concept","Verified rhetoric; no completed transfer","The statement normalized land exchange without Ukrainian approval but did not itself change sovereignty.",4,3,"Russian boards and Telegram often interpreted it as proof Putin held the stronger hand.",https://www.cbsnews.com/news/trump-putin-alaska-meeting-ukraine-war/,Maps, term sheets and Russian proposal
J20-039,2025-08-15,Summit,"Putin hosted in Alaska without prior ceasefire","Verified diplomatic benefit","The summit restored high-level U.S.-soil legitimacy and produced no public ceasefire.",5,2,"Russian officials, media and online communities celebrated status restoration and lack of preconditions.",https://www.washingtonpost.com/world/2025/08/10/putin-trump-russia-ukraine-summit/,Interpreter notes and economic/territorial commitments
J20-040,2025-10-22,Direct sanctions,"Rosneft and Lukoil sanctions","Verified major counterevidence","Treasury imposed material direct sanctions citing lack of Russian commitment to peace.",0,0,"Russian officials condemned the measures; nationalist confidence in Trump declined.",https://home.treasury.gov/news/press-releases/sb0290,Enforcement results and evasion analysis
J20-041,2025-11/12,Lukoil licenses,"Lukoil waiver extended into 2026","Verified with narrow-scope correction","Licenses protected non-Russian retail stations, Bulgarian operations, divestment and wind-down; they did not cancel the designation.",2,0,"TASS and Interfax emphasized operational relief.",https://ofac.treasury.gov/faqs/1225,Payments, asset buyers and Russian remittance restrictions
J20-042,2025-11,Peace plan,"28-point plan based substantially on Russian paper","Verified draft and promoted","The original plan incorporated Russian-authored material and favored Moscow on territory, NATO, force limits, sanctions, status and frozen assets; later revisions narrowed it.",5,5,"Lavrov said it embodied Alaska understandings; Russian media treated the original as the proper baseline.",https://www.reuters.com/world/europe/us-peace-plan-ukraine-drew-russian-document-sources-say-2025-11-26/,Original Russian paper, transmission chain and all U.S. edits
J20-043,2025-11,Ukraine pressure,"Short acceptance deadline and weapons/intelligence pressure","Credibly reported; promoted with qualification","Initial pressure was substantial but subsequent talks modified and reduced the plan.",4,4,"Russian outlets described Washington as forcing Kyiv toward reality.",https://www.reuters.com/world/europe/draft-us-backed-peace-proposal-ukraine-2025-11-21/,Written ultimatum and conditional-aid instructions
J20-044,2025-11/12,Frozen assets,"U.S. lobbies Europe not to use frozen Russian assets","Promoted as policy reversal/negotiating shift","U.S. support for using assets reported Nov. 7 shifted by December toward preserving them for the peace framework and possible investment structures.",4,4,"Russian envoy Kirill Dmitriev celebrated failure of the EU asset plan.",https://www.reuters.com/world/europe/us-backs-eu-using-frozen-russian-assets-help-end-war-us-source-says-2025-11-07/,December U.S. demarches, peace-plan asset provisions and EU records
J20-045,2025-12-02,Diplomacy,"Witkoff and Kushner meet Putin for hours","Verified and promoted","Five-hour talks yielded no settlement; Russia rejected significant parts of the revised plan while treating the original draft as the baseline.",3,2,"Russian pool coverage highlighted direct access and Europe’s exclusion.",https://www.reutersconnect.com/item/putin-meets-witkoff-and-kushner-in-the-kremlin-to-discuss-a-peace-deal-in-ukraine/dGFnOnJldXRlcnMuY29tLDIwMjU6bmV3c21sX1ZBNjc2ODAyMTIyMDI1UlAx,Delegation instructions and complete readout
J20-046,2025-02,European politics,"Vance meets AfD leader and attacks firewall","Verified and promoted","A sitting vice president intervened in an allied election environment on behalf of engagement with a party opposing sanctions and much Ukraine aid.",3,2,"Medvedev and Russian outlets praised Vance’s attack on European political exclusion.",https://apnews.com/article/vance-munich-germany-afd-election-europe-27e9a6f80c2ab6f8a28ed2f51ef191a9,White House instructions and AfD communications
J20-047,2025-03/04,European politics,"Trump/Vance support Marine Le Pen","Verified and promoted; Musk separated as private actor","Trump called the conviction a witch hunt and demanded Le Pen’s release; Vance and Trump Jr. echoed democratic-legitimacy claims.",3,2,"Zakharova, Medvedev, TASS and RIA used matching narratives about liberal democracy.",https://tass.com/world/1938717,Administration contacts with National Rally
J20-048,2025-12,NSS/Europe,"Cultivate resistance to Europe’s trajectory and praise patriotic parties","Verified official strategy and promoted","The NSS formally endorsed political resistance within Europe and prioritized strategic stability with Russia.",4,3,"Russian officials hailed the document as realism, reduced containment and an answer to Putin’s Munich speech.",https://www.whitehouse.gov/wp-content/uploads/2025/12/2025-National-Security-Strategy.pdf,Drafting history and consultations with European parties or foreign governments
J20-049,2025-11/12,Frozen assets/Europe,"EU ultimately declines Russian-asset loan and uses joint borrowing","Verified outcome; causation multi-factorial","Belgian legal/financial objections were central; U.S. peace-plan pressure was one additional factor, not the sole cause.",3,3,"Kirill Dmitriev publicly celebrated the failure to tap the assets.",https://www.reuters.com/world/europe/eu-leaders-agree-ukraine-financing-2026-27-belgiums-approval-key-2025-12-18/,EU member-state communications and U.S. lobbying record
J20-050,2025-01/12,Overall scoring,"Russia 42 versus America/Ukraine 4.5","Investigative signal retained; literal metric retired","The count identified a real early imbalance but mixed unequal events, duplicates, technical licenses, proposals and personnel indicators. Chapter 7 uses weighted evidence instead.",NA,NA,"Russian reaction supports the perceived early imbalance but later frustration confirms a mixed record.",Tmanch_CH7_J20_reconciliation.md,Complete weighted scoring methodology and independent review

J20-2026-001,2026-03-01/04-07,Russia-Iran targeting and U.S. casualties,"Russian targeting support during attacks on Americans","Promoted from Chapter 7 casualty matrix","Iranian attacks killed and wounded U.S. service members while intelligence reporting indicated Russia supplied Iran targeting information concerning American military assets; later reporting described Russian satellite collection preceding Iranian strikes. Russia denied the allegations.",5,5,"Russian officials denied assistance; Russian commentary emphasized U.S. support for Ukraine as a comparison.",Tmanch_CH7_Russia_China_Iran_Targeting_Casualty_Matrix.md,"Declassified U.S. assessment, satellite tasking, dissemination, Iranian receipt and casualty-specific strike files"
J20-2026-002,2026-03-05/05-18,Russian oil licensing,"GL 133 and GL 134 series during targeting controversy","Verified and promoted with scope qualification","OFAC authorized specified delivery and sale transactions involving Russian-origin oil. The licenses served energy-market purposes but preserved Russian transaction and revenue pathways during the targeting-assistance controversy.",4,1,"Russian energy interests retained qualifying transaction pathways; public Russian treatment emphasized continued market access.",Tmanch_CH7_OFAC_license_matrix.csv,"Decision memoranda, cargo values, beneficiaries and official knowledge timeline"
J20-2026-003,2026-03-07/10,Presidential response,"Trump minimization and elevation of Russian denials","Verified and promoted","After the dignified transfer for six soldiers killed in Kuwait, Trump minimized reported Russian assistance; Witkoff repeated Putin and Ushakov denials and said the United States could take them at their word subject to intelligence review.",4,3,"Russian denials received prominent U.S. repetition and no identified public Russia-specific targeting penalty followed.",Tmanch_CH7_Russia_Iran_Sanctions_High_Magnitude_Red_Flag.md,"Presidential briefing record, call memoranda, options papers and any classified consequences"
J20-2026-004,2026-08-25/27,Intelligence diplomacy and NATO trust framing,"Ratcliffe Moscow visit and Trump assurances","Verified events; private substance unresolved","CIA Director Ratcliffe made a rare Moscow visit; Trump publicly assured that Putin would not attack NATO based on good talks and said Russia had behaved quite well concerning the Strait of Hormuz.",4,4,"Russian officials treated intelligence contact and presidential assurances as evidence of privileged bilateral trust.",Tmanch_CH7.md,"Mission authorization, readout, Trump-Putin communications and NATO contingency guidance"
J20-2026-005,2026-08-31,Financial normalization and allied fracture,"Siluanov restored to U.S.-hosted in-person G20 finance participation","Verified discretionary normalization; counterevidence preserved","As G20 host, the United States restored Russian Finance Minister Anton Siluanov to in-person participation and granted him a bilateral with Treasury Secretary Scott Bessent, the first such appearance since the 2022 full-scale invasion. European officials protested and refused the family photograph. Trump defended the invitation through a desire to get along with everybody. Russia framed the meeting as bilateral financial cooperation. Bessent reportedly said no economic relief was possible until Russia ended the war. No prior Russian concession was publicly announced.",4,3,"TASS amplified Trump’s congeniality rationale; Russia’s Finance Ministry and Interfax described Russian-American financial-track and G20 cooperation.",https://www.reuters.com/business/finance/europeans-bristle-russias-return-g20-2026-08-31/,"Invitation decision, White House and Treasury instructions, bilateral transcript, sanctions agenda, allied consultations and any concession obtained"
